wpid,userid,time,death,newcomer_registyear,today,lastedit_tillend,last_censored,last_edit,event_newcomers,event,first_edit_type,first_edit_type3,first_eventedit_article,first_eventedit_date,registration,article_edits,article_sizediff,unique_articles
Deangelohnynjyjyj,22947010,0,1,2014,10/23/14,1085,10/12/17,10/23/14,1,Ebola,1,1,Ebola virus cases in the United States,10/23/14,10/23/14,1.0,-115.0,1.0
Doc Ayomide,21941077,11,1,2014,8/8/14,1161,10/12/17,8/8/14,1,Ebola,1,1,Ebola virus disease,7/28/14,7/28/14,2.0,-10.0,2.0
Doctorjokes,22166581,0,1,2014,8/11/14,1158,10/12/17,8/11/14,1,Ebola,1,1,West African Ebola virus epidemic,8/11/14,8/11/14,1.0,218.0,1.0
DomanicAssyrian,22951759,4,1,2014,10/28/14,1080,10/12/17,10/28/14,1,Ebola,4,3,West African Ebola virus epidemic,10/28/14,10/24/14,4.0,-6.75,1.0
DoubleDr,23868411,81,1,2015,4/13/15,913,10/12/17,4/13/15,0,Ebola,2,2,West African Ebola virus epidemic,2/17/15,1/22/15,15.0,497.8666666666667,12.0
Dr.Oberd,23509049,76,1,2014,3/2/15,955,10/12/17,3/2/15,1,Ebola,1,1,West African Ebola virus epidemic,12/16/14,12/16/14,4.0,290.0,3.0
DuckMan23,22079756,1,1,2014,8/6/14,1163,10/12/17,8/6/14,1,Ebola,1,1,West African Ebola virus epidemic,8/5/14,8/5/14,4.0,8.0,1.0
Dylang010,22011743,0,1,2014,8/2/14,1167,10/12/17,8/2/14,1,Ebola,1,1,Ebola virus disease,8/2/14,8/2/14,1.0,-2.0,1.0
Ebola guy,21959760,0,1,2014,7/30/14,1170,10/12/17,7/30/14,1,Ebola,1,1,User talk:Ebola guy,7/30/14,7/30/14,2.0,12.5,1.0
Editboyxxx999snipez,22764491,0,1,2014,10/6/14,1102,10/12/17,10/6/14,1,Ebola,1,1,Ebola virus,10/6/14,10/6/14,2.0,31.0,1.0
Emily1015,21730821,0,1,2014,6/30/14,1200,10/12/17,6/30/14,0,Ebola,2,2,Ebola virus disease,6/30/14,6/30/14,2.0,43.5,2.0
Enhickman,22523564,0,1,2014,9/13/14,1125,10/12/17,9/13/14,1,Ebola,1,1,West African Ebola virus epidemic,9/13/14,9/13/14,4.0,-121.5,1.0
EoRdE6,22581480,1120,0,2014,10/12/17,0,10/12/17,10/12/17,0,Ebola,2,2,Talk:Ebola virus cases in the United States,10/3/14,9/18/14,626.0,269.09584664536743,348.0
Erinarrow,25137754,872,0,2015,9/28/17,14,10/12/17,9/28/17,1,Ebola,1,1,Ebola virus epidemic in Liberia,5/10/15,5/10/15,1.0,-1199.0,1.0
Excetor,22525551,0,1,2014,9/13/14,1125,10/12/17,9/13/14,1,Ebola,1,1,West African Ebola virus epidemic,9/13/14,9/13/14,2.0,-109.5,1.0
ExoSuho,21844486,17,1,2014,8/2/14,1167,10/12/17,8/2/14,1,Ebola,1,1,Ebola virus disease,7/16/14,7/16/14,2.0,-46.0,1.0
F Camp,22126370,41,1,2014,9/18/14,1120,10/12/17,9/18/14,0,Ebola,2,2,West African Ebola virus epidemic,8/28/14,8/8/14,28.0,168.53571428571428,4.0
Fakecolepoland,22002453,0,1,2014,8/1/14,1168,10/12/17,8/1/14,1,Ebola,1,1,Ebola virus disease,8/1/14,8/1/14,1.0,21.0,1.0
Fgauivfhrhgfighifdh,25147706,0,1,2015,5/11/15,885,10/12/17,5/11/15,1,Ebola,1,1,Ebola virus epidemic in Liberia,5/11/15,5/11/15,3.0,22.0,1.0
FourViolas,22764313,1103,0,2014,10/13/17,-1,10/12/17,10/13/17,0,Ebola,3,3,West African Ebola virus epidemic,11/3/14,10/6/14,486.0,215.17078189300412,373.0
Frostayy,22799226,0,1,2014,10/9/14,1099,10/12/17,10/9/14,1,Ebola,1,1,West African Ebola virus epidemic,10/9/14,10/9/14,1.0,187.0,1.0
Frostnibble12343456,22940347,0,1,2014,10/23/14,1085,10/12/17,10/23/14,1,Ebola,1,1,West African Ebola virus epidemic,10/23/14,10/23/14,1.0,34.0,1.0
Gggff555,22857826,0,1,2014,10/15/14,1093,10/12/17,10/15/14,1,Ebola,1,1,Ebola virus cases in the United States,10/15/14,10/15/14,1.0,18.0,1.0
GianDawal1234,24169389,57,1,2015,4/17/15,909,10/12/17,4/17/15,0,Ebola,2,2,West African Ebola virus epidemic,2/22/15,2/19/15,68.0,16.58823529411765,33.0
Goalieboss,22827806,11,1,2014,10/23/14,1085,10/12/17,10/23/14,1,Ebola,1,1,West African Ebola virus epidemic,10/23/14,10/12/14,2.0,15.0,1.0
Goaliegirl133,23213899,0,1,2014,11/18/14,1059,10/12/17,11/18/14,1,Ebola,1,1,Ebola virus cases in the United States,11/18/14,11/18/14,1.0,0.0,1.0
Gonzales2011,21715655,0,1,2014,6/28/14,1202,10/12/17,6/28/14,1,Ebola,1,1,West African Ebola virus epidemic,6/28/14,6/28/14,2.0,64.5,1.0
Gorblestein,22800527,0,1,2014,10/10/14,1098,10/12/17,10/10/14,1,Ebola,1,1,West African Ebola virus epidemic,10/10/14,10/10/14,6.0,10.666666666666666,4.0
Ham.star.01,22812081,0,1,2014,10/11/14,1097,10/12/17,10/11/14,1,Ebola,1,1,West African Ebola virus epidemic,10/11/14,10/11/14,1.0,1.0,1.0
Handsomewealth,22568229,0,1,2014,9/17/14,1121,10/12/17,9/17/14,1,Ebola,1,1,Ebola virus,9/17/14,9/17/14,1.0,709.0,1.0
Harrismark,21938133,11,1,2014,8/7/14,1162,10/12/17,8/7/14,0,Ebola,2,2,Ebola virus disease,8/4/14,7/27/14,7.0,-8.0,6.0
Hemlata0005,22287630,0,1,2014,8/22/14,1147,10/12/17,8/22/14,1,Ebola,1,1,Ebola virus,8/22/14,8/22/14,1.0,37.0,1.0
Hobbes7,23076611,95,1,2014,2/8/15,977,10/12/17,2/8/15,0,Ebola,2,2,Ebola virus cases in the United States,11/15/14,11/5/14,21.0,281.1904761904762,11.0
Homomnius,21685326,0,1,2014,6/24/14,1206,10/12/17,6/24/14,1,Ebola,1,1,Ebola virus disease,6/24/14,6/24/14,2.0,21.5,1.0
Hrrael,22986945,0,1,2014,10/27/14,1081,10/12/17,10/27/14,1,Ebola,1,1,West African Ebola virus epidemic,10/27/14,10/27/14,1.0,788.0,1.0
IRVONBRABBS420BLAZE,23580979,0,1,2014,12/24/14,1023,10/12/17,12/24/14,1,Ebola,1,1,Ebola virus,12/24/14,12/24/14,3.0,144.66666666666666,2.0
Iamchukzzy,22781464,0,1,2014,10/8/14,1100,10/12/17,10/8/14,1,Ebola,1,1,West African Ebola virus epidemic,10/8/14,10/8/14,1.0,11.0,1.0
Igor gdsgsdgifsscvu,23732876,0,1,2015,1/9/15,1007,10/12/17,1/9/15,1,Ebola,1,1,Ebola virus,1/9/15,1/9/15,2.0,-1525.0,2.0
Ija2002,22732690,5,1,2014,10/8/14,1100,10/12/17,10/8/14,1,Ebola,1,1,West African Ebola virus epidemic,10/3/14,10/3/14,2.0,-1.0,1.0
Inemudom,21965466,0,1,2014,7/30/14,1170,10/12/17,7/30/14,1,Ebola,1,1,Ebola virus disease,7/30/14,7/30/14,1.0,159.0,1.0
Irishlad99,22216664,568,1,2014,3/5/16,586,10/12/17,3/5/16,1,Ebola,1,1,West African Ebola virus epidemic,8/15/14,8/15/14,5.0,382.4,3.0
Iron Caterpillar,22778720,6,1,2014,10/14/14,1094,10/12/17,10/14/14,1,Ebola,4,3,West African Ebola virus epidemic,10/14/14,10/8/14,1.0,10.0,1.0
Iwalrusfriend,23257101,0,1,2014,11/22/14,1055,10/12/17,11/22/14,1,Ebola,1,1,Ebola virus disease,11/22/14,11/22/14,1.0,-3.0,1.0
JafarFromAfar,23504924,0,1,2014,12/16/14,1031,10/12/17,12/16/14,0,Ebola,2,2,Ebola virus,12/16/14,12/16/14,2.0,27.0,2.0
Jaxst99,23060270,0,1,2014,11/3/14,1074,10/12/17,11/3/14,1,Ebola,1,1,West African Ebola virus epidemic,11/3/14,11/3/14,1.0,26.0,1.0
Jetsmoothin,22407763,29,1,2014,10/1/14,1107,10/12/17,10/1/14,0,Ebola,2,2,Ebola virus,10/1/14,9/2/14,7.0,29.0,4.0
Jhanae Kelly,22057832,0,1,2014,8/4/14,1165,10/12/17,8/4/14,1,Ebola,1,1,West African Ebola virus epidemic,8/4/14,8/4/14,1.0,-6.0,1.0
Jimothyjones123,22798829,0,1,2014,10/9/14,1099,10/12/17,10/9/14,1,Ebola,1,1,West African Ebola virus epidemic,10/9/14,10/9/14,1.0,31.0,1.0
Jjayy138,22411359,35,1,2014,10/7/14,1101,10/12/17,10/7/14,0,Ebola,4,3,West African Ebola virus epidemic,9/23/14,9/2/14,10.0,222.2,7.0
Jlrubin,22545397,1103,0,2014,9/22/17,20,10/12/17,9/22/17,1,Ebola,1,1,Talk:West African Ebola virus epidemic,10/18/14,9/15/14,4.0,-36.75,3.0
John Milton Nagel,22854370,0,1,2014,10/15/14,1093,10/12/17,10/15/14,1,Ebola,1,1,Ebola virus cases in the United States,10/15/14,10/15/14,2.0,147.5,1.0
Jsoik,23255479,0,1,2014,11/22/14,1055,10/12/17,11/22/14,1,Ebola,1,1,Ebola virus disease,11/22/14,11/22/14,1.0,199.0,1.0
