label,wpid,first_edit,from_event,transitivity,betweenness,betweenness_norm,closeness,closeness_norm,degree,degree_norm,Indegree,Indegree_norm,Outdegree,Outdegree_norm,weighted_degree,weighted_Indegree,weighted_Outdegree,eigen,event
Erinarrow,Erinarrow,1,1,NA,0,0,2.52E-07,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,0,ebola
EternalNomad,EternalNomad,3,1,NA,0,0,2.52E-07,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,0,BLM
ExoSuho,ExoSuho,1,1,NA,0,0,2.52E-07,0.00050226,1,0.000502513,1,0.000502513,0,0,2,2,0,2.48E-06,ebola
F Camp,F Camp,2,1,0,66,1.67E-05,2.61E-07,0.000519437,2,0.001005025,1,0.000502513,1,0.000502513,3,1,2,4.05E-06,ebola
FACTSvsOPINION,FACTSvsOPINION,1,1,NA,0,0,2.52E-07,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,0,BLM
Fakecolepoland,Fakecolepoland,1,1,NA,0,0,2.52E-07,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,0,ebola
Fakih99,Fakih99,2,1,NA,0,0,2.52E-07,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,0.000195397,FIFA
Fatnard,Fatnard,1,1,0,512,0.000129355,3.39E-07,0.000674515,3,0.001507538,2,0.001005025,1,0.000502513,3,2,1,0,BLM
FCHulbenheim,FCHulbenheim,2,1,0,0,0,2.52E-07,0.00050226,6,0.003015075,6,0.003015075,0,0,7,7,0,0.00010988,FIFA
Fgauivfhrhgfighifdh,Fgauivfhrhgfighifdh,1,1,0,0,0,2.52E-07,0.00050226,2,0.001005025,2,0.001005025,0,0,2,2,0,0,ebola
Flyer500,Flyer500,3,1,0,3,7.58E-07,2.53E-07,0.000502512,5,0.002512563,4,0.00201005,1,0.000502513,13,9,4,0,ebola
Flystar125,Flystar125,2,1,0,1,2.53E-07,2.53E-07,0.000502513,2,0.001005025,1,0.000502513,1,0.000502513,2,1,1,0,FIFA
Football14fever,Football14fever,1,1,NA,0,0,2.52E-07,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,0,FIFA
FourViolas,FourViolas,3,1,0,1921,0.000485333,3.36E-07,0.000668193,15,0.007537688,4,0.00201005,11,0.005527638,27,9,18,0.001323273,BLM
FriarTuck1981,FriarTuck1981,2,1,0,0,0,2.52E-07,0.00050226,2,0.001005025,2,0.001005025,0,0,2,2,0,0.000195261,BLM
Frostayy,Frostayy,1,1,NA,0,0,2.52E-07,0.00050226,1,0.000502513,1,0.000502513,0,0,2,2,0,0,ebola
Frostnibble12343456,Frostnibble12343456,1,1,NA,0,0,2.52E-07,0.00050226,0,0,0,0,0,0,0,0,0,0,ebola
Ftbl2014,Ftbl2014,1,1,NA,0,0,2.52E-07,0.00050226,0,0,0,0,0,0,0,0,0,0,FIFA
Futeb00l,Futeb00l,2,1,NA,0,0,2.52E-07,0.00050226,0,0,0,0,0,0,0,0,0,0,FIFA
Gf95750,Gf95750,2,1,NA,0,0,2.52E-07,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,0.000195397,BLM
Gg3iii,Gg3iii,1,1,NA,0,0,2.52E-07,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,7.48E-08,BLM
Gggff555,Gggff555,1,1,NA,0,0,2.52E-07,0.00050226,1,0.000502513,1,0.000502513,0,0,2,2,0,0,ebola
GianDawal1234,GianDawal1234,2,1,NA,0,0,2.52E-07,0.00050226,1,0.000502513,1,0.000502513,0,0,2,2,0,0,ebola
GoLeor,GoLeor,2,1,NA,0,0,2.52E-07,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,0.000195397,BLM
Gonzales2011,Gonzales2011,1,1,NA,0,0,2.52E-07,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,0,ebola
Gorblestein,Gorblestein,1,1,NA,0,0,2.52E-07,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,5.17E-05,ebola
GraalPK,GraalPK,3,1,NA,0,0,2.52E-07,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,0,FIFA
GrecianEarn,GrecianEarn,3,1,NA,0,0,2.52E-07,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,0,BLM
Halahala9X9,Halahala9X9,1,1,NA,0,0,2.52E-07,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,0,BLM
Ham.star.01,Ham.star.01,1,1,NA,0,0,2.52E-07,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,0,ebola
Handsomewealth,Handsomewealth,1,1,NA,0,0,2.52E-07,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,1.12E-06,ebola
Harka1998,Harka1998,2,1,NA,0,0,2.52E-07,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,0,ebola
Hawkmoonb,Hawkmoonb,1,1,NA,0,0,2.52E-07,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,0,BLM
Hehoo99,Hehoo99,2,1,NA,0,0,2.52E-07,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,0,BLM
Hemlata0005,Hemlata0005,1,1,NA,0,0,2.52E-07,0.00050226,0,0,0,0,0,0,0,0,0,0,ebola
HMS88,HMS88,2,1,NA,0,0,2.52E-07,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,0,FIFA
Hobbes7,Hobbes7,2,1,0,0,0,2.52E-07,0.00050226,3,0.001507538,3,0.001507538,0,0,3,3,0,0.000195189,ebola
Homo mundi,Homo mundi,1,1,0,2,5.05E-07,2.53E-07,0.000502513,3,0.001507538,2,0.001005025,1,0.000502513,5,4,1,2.49E-06,FIFA
Iamchukzzy,Iamchukzzy,1,1,NA,0,0,2.52E-07,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,2.39E-07,ebola
Iazyges,Iazyges,3,1,NA,0,0,2.53E-07,0.000502512,1,0.000502513,0,0,1,0.000502513,2,0,2,0,BLM
Icarosaurvus,Icarosaurvus,2,1,0,8531,0.002155322,3.39E-07,0.000674739,7,0.003517588,3,0.001507538,4,0.00201005,14,5,9,0.000140966,BLM
Igor gdsgsdgifsscvu,Igor gdsgsdgifsscvu,1,1,NA,0,0,2.52E-07,0.00050226,0,0,0,0,0,0,0,0,0,0,ebola
Ija2002,Ija2002,1,1,NA,0,0,2.52E-07,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,0,ebola
Irishlad99,Irishlad99,1,1,NA,0,0,2.52E-07,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,0,ebola
Iron Caterpillar,Iron Caterpillar,3,1,NA,0,0,2.52E-07,0.00050226,0,0,0,0,0,0,0,0,0,0,ebola
IRVONBRABBS420BLAZE,IRVONBRABBS420BLAZE,1,1,NA,0,0,2.52E-07,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,0,ebola
IRW0,IRW0,2,1,0,42,1.06E-05,2.53E-07,0.000503777,11,0.005527638,7,0.003517588,4,0.00201005,21,13,8,0,ebola
Itzzz Michael,Itzzz Michael,1,1,NA,0,0,2.52E-07,0.00050226,0,0,0,0,0,0,0,0,0,0,FIFA
Iwalrusfriend,Iwalrusfriend,1,1,NA,0,0,2.52E-07,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,0,ebola
JafarFromAfar,JafarFromAfar,2,1,NA,0,0,2.52E-07,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,0,ebola
Jamesdean32,Jamesdean32,1,1,NA,0,0,2.52E-07,0.00050226,0,0,0,0,0,0,0,0,0,0,BLM
Jetsmoothin,Jetsmoothin,2,1,0,0,0,2.52E-07,0.00050226,3,0.001507538,3,0.001507538,0,0,4,4,0,0,ebola
Jhanae Kelly,Jhanae Kelly,1,1,NA,0,0,2.52E-07,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,0,ebola
