wpid,userid,ave_good_3ms,revert_count_3ms,time,death,newcomer_registyear,today,lastedit_tillend,last_censored,last_edit,event_newcomers,first_edit_type,first_edit_type3,first_eventedit_article,first_eventedit_date,registration,article_edits,article_sizediff,unique_articles,first_edit,betweenness,betweenness_norm,closeness_norm,degree,degree_norm,Indegree,Indegree_norm,Outdegree,Outdegree_norm,weighted_degree,weighted_Indegree,weighted_Outdegree,eigen,event,revert_count,revert_ratio,ave_true,before_ave_sizediff,before_article_sizediff,before_unique_articles,before_article_count,before_edit_count,before_talk_count,before_user_count,before_usertalk_count
Adrian-re14,21646720,0,0,0,1,2014,6/18/14,1214,10/14/17,6/18/14,1,1,1,2014 FIFA World Cup Group B,6/18/14,6/18/14,1,6,1,1,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,fifa,0,0,0.839732482,5.99940006,5.99940006,1,1,1,0,0,0
Adrien Glauser,21692166,0,0,238,1,2014,2/18/15,969,10/14/17,2/18/15,1,1,1,2014 FIFA World Cup knockout stage,6/25/14,6/25/14,3,2.333333333,1,1,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,fifa,0,0,0.905959919,2.333255558,2.333255558,1,3,3,0,0,0
Afk3004,23010510,0,0,0,1,2014,10/29/14,1079,10/12/17,10/29/14,1,1,1,West African Ebola virus epidemic,10/29/14,10/29/14,1,1,1,1,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,ebola,0,0,0.676516711,0.99990001,0.99990001,1,1,1,0,0,0
Afropwnswest,24827597,0,0,309,1,2015,2/21/16,606,10/19/17,2/21/16,1,1,1,Black Lives Matter,4/18/15,4/18/15,9,30.44444444,2,1,0,0,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,7.48E-08,blm,0,0,0.493430956,30.44410618,30.44410618,2,9,9,0,0,0
Agent0047,20601081,0.740692307,14,592,1,2014,9/4/15,771,10/14/17,9/4/15,0,2,2,Controversies surrounding Grand Theft Auto IV,1/28/14,1/20/14,152,-0.75,116,2,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,fifa,17,0.113333333,0.711796052,-91.52887336,-91.52887336,14,17,17,0,0,0
Agiufurta,22851142,0,0,615,1,2014,6/21/16,478,10/12/17,6/21/16,0,2,2,Ebola virus cases in the United States,10/23/14,10/15/14,5,67.8,2,2,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,ebola,0,0,0.66621297,67.79864403,67.79864403,2,5,5,0,0,0
Ahavahisrael,22057934,0.653099363,1,78,1,2014,10/21/14,1087,10/12/17,10/21/14,0,2,2,West African Ebola virus epidemic,8/4/14,8/4/14,21,291.952381,17,2,0,0,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,0,ebola,2,0.1,0.61235418,208.0407998,357.4587888,10,13,24,1,10,0
Akkckkc,25865582,0,0,0,1,2015,7/27/15,815,10/19/17,7/27/15,1,1,1,Death of Sandra Bland,7/27/15,7/27/15,2,63.5,1,1,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,blm,0,0,0.272974061,63.49682516,63.49682516,1,2,2,0,0,0
AlaskanNativeRU,24682483,0.766031819,35,922,0,2015,10/16/17,3,10/19/17,10/16/17,0,2,2,Murder of Gregory Glen Biggs,5/22/15,4/8/15,324,21.97839506,138,2,3,7.58E-07,0.000502512,5,0.002512563,4,0.00201005,1,0.000502513,19,16,3,0,blm,63,0.196875,0.700099714,86.65935749,1.872879769,57,118,138,11,2,5
Alex 75596,21556280,0.439669849,0,33,1,2014,7/8/14,1194,10/14/17,7/8/14,0,2,2,2014 FIFA World Cup,6/26/14,6/5/14,31,0.35483871,13,2,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,fifa,5,0.161290323,0.579792589,0.333332222,0.333332222,13,30,30,0,0,0
