wpid,userid,ave_good_3ms,revert_count_3ms,time,death,newcomer_registyear,today,lastedit_tillend,last_censored,last_edit,event_newcomers,first_edit_type,first_edit_type3,first_eventedit_article,first_eventedit_date,registration,article_edits,article_sizediff,unique_articles,first_edit,betweenness,betweenness_norm,closeness_norm,degree,degree_norm,Indegree,Indegree_norm,Outdegree,Outdegree_norm,weighted_degree,weighted_Indegree,weighted_Outdegree,eigen,event,revert_count,revert_ratio,ave_true,before_ave_sizediff,before_article_sizediff,before_unique_articles,before_article_count,before_edit_count,before_talk_count,before_user_count,before_usertalk_count
BookOfJahMez,22961808,0,0,0,1,2014,10/25/14,1083,10/12/17,10/25/14,1,1,1,Ebola virus cases in the United States,10/25/14,10/25/14,1,2218,1,1,0,0,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,1.12E-06,ebola,0,0,0.516821274,2217.778222,2217.778222,1,1,1,0,0,0
BoomChakaLakaBoom,23566036,0,0,0,1,2014,12/23/14,1031,10/19/17,12/23/14,1,1,1,Shooting of John Crawford III,12/23/14,12/23/14,1,12,1,1,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,blm,0,0,0.291715003,11.99880012,11.99880012,1,1,1,0,0,0
BoricuaBonita,25871548,0,0,0,1,2015,7/28/15,814,10/19/17,7/28/15,1,1,1,Death of Sandra Bland,7/28/15,7/28/15,1,-44,1,1,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,blm,0,0,0.522736917,-43.99560044,-43.99560044,1,1,1,0,0,0
BrianGroen,22058183,0.852871822,54,657,1,2014,5/22/16,508,10/12/17,5/22/16,1,1,1,West African Ebola virus epidemic,8/4/14,8/4/14,1374,51.17103348,16,1,5772,0.001458272,0.000519185,10,0.005025126,4,0.00201005,6,0.003015075,30,11,19,8.05E-05,ebola,62,0.045621781,0.832137397,122.7849763,108.68746,2,272,307,24,0,11
BunnyTaker55,22945140,0,0,0,1,2014,10/23/14,1092,10/19/17,10/23/14,0,2,2,Death of Eric Garner,10/23/14,10/23/14,2,-24,2,2,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,blm,0,0,0.200642161,-23.99880006,-23.99880006,2,2,2,0,0,0
Cabj94,21373646,0.867060062,4,1251,0,2014,10/12/17,2,10/14/17,10/12/17,0,2,2,2014 Women's Hockey World Cup,6/8/14,5/10/14,1948,498.0811088,184,2,0,0,0.00050226,5,0.002512563,5,0.002512563,0,0,8,8,0,0,fifa,18,0.00933126,0.820092358,485.6051722,496.9316254,59,1083,1112,0,0,0
Caealn,21564287,0.730699145,27,1073,1,2014,5/14/17,153,10/14/17,5/14/17,0,2,2,Brazil national football team,7/9/14,6/6/14,597,42.34338358,380,2,7,1.77E-06,0.000502765,6,0.003015075,4,0.00201005,2,0.001005025,8,4,4,0,fifa,73,0.123102867,0.72126375,12.9121173,23.98135901,214,322,330,0,0,7
CalLightman1990,26729435,0.48215082,0,46,1,2015,12/23/15,666,10/19/17,12/23/15,0,2,2,Death of Sandra Bland,12/23/15,11/7/15,5,135.6,2,2,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,blm,0,0,0.656538044,204.1959161,169.7457564,1,4,5,1,0,0
Calthaus,22394843,0.96175147,0,99,1,2014,12/9/14,1038,10/12/17,12/9/14,1,1,1,West African Ebola virus epidemic,9/19/14,9/1/14,3,792.3333333,2,1,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,ebola,0,0,0.960205025,2004.79952,2004.79952,1,1,1,0,0,0
Car200,21926087,0,0,0,1,2014,7/26/14,1174,10/12/17,7/26/14,1,1,1,West African Ebola virus epidemic,7/26/14,7/26/14,2,123,1,1,0,0,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,0,ebola,0,0,0.688512405,122.9938503,122.9938503,1,2,2,0,0,0
Carcake1999,22493912,0.67327186,8,36,1,2014,10/16/14,1092,10/12/17,10/16/14,0,2,2,Ebola virus cases in the United States,10/8/14,9/10/14,149,9.416107383,93,2,194,4.90E-05,0.000502765,7,0.003517588,5,0.002512563,2,0.001005025,8,6,2,0.000102597,ebola,49,0.331081081,0.658717819,15.17776653,9.153839112,87,130,135,0,0,5
Cathar66,23395611,0.734545152,41,969,1,2014,7/31/17,80,10/19/17,7/31/17,0,4,3,32 County Sovereignty Movement,1/2/15,12/5/14,352,258.0539773,123,3,1,2.53E-07,0.000502512,2,0.001005025,1,0.000502513,1,0.000502513,4,1,3,0,blm,43,0.122159091,0.722655771,162.356563,-44.13616302,12,22,28,0,2,4
Cbowman7289,22645352,0.970982682,0,483,1,2014,1/20/16,631,10/12/17,1/20/16,1,4,3,Talk:Ebola virus cases in the United States,11/10/14,9/24/14,1,2335,1,3,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,ebola,0,0,0.970982682,151.6656556,0,0,0,15,0,15,0
Cbursaw,23398438,0.84005775,0,929,1,2014,6/21/17,120,10/19/17,6/21/17,0,2,2,Shooting of Tony Robinson,3/12/15,12/5/14,287,-27.24041812,42,2,0,0,0.00050226,1,0.000502513,1,0.000502513,0,0,2,2,0,0,blm,6,0.020905923,0.790060876,35.98239301,35.98239301,13,57,57,0,0,0
CDC Latam,22210107,0,0,0,1,2014,8/15/14,1154,10/12/17,8/15/14,1,1,1,West African Ebola virus epidemic,8/15/14,8/15/14,1,78,1,1,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,ebola,1,1,0.083624863,77.99220078,77.99220078,1,1,1,0,0,0
Cewlt,24382660,0.747041172,0,708,1,2015,2/15/17,246,10/19/17,2/15/17,0,2,2,Charleston church shooting,6/19/15,3/10/15,33,57.27272727,10,2,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,blm,1,0.03030303,0.744830585,82.11019878,82.11019878,4,9,9,0,0,0
Cfavsmba,23580749,0,0,0,1,2014,12/24/14,1030,10/19/17,12/24/14,0,2,2,Ferguson unrest,12/24/14,12/24/14,3,17,2,2,0,0,0.00050226,1,0.000502513,1,0.000502513,0,0,2,2,0,0,blm,3,1,0.290799833,16.99943335,16.99943335,2,3,3,0,0,0
Cfcgau,23042377,0,0,0,1,2014,11/2/14,1075,10/12/17,11/2/14,1,1,1,West African Ebola virus epidemic,11/2/14,11/2/14,1,-7,1,1,0,0,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,0.000195397,ebola,1,1,0.55276323,-6.99930007,-6.99930007,1,1,1,0,0,0
Chaiso123,23399457,0,0,0,1,2014,12/6/14,1041,10/12/17,12/6/14,0,2,2,West African Ebola virus epidemic,12/6/14,12/6/14,3,3,3,2,0,0,0.000502765,2,0.001005025,1,0.000502513,1,0.000502513,2,1,1,0,ebola,1,0.333333333,0.461457377,23.49941251,2.999900003,3,3,4,0,0,1
ChamithN,21929136,0.963606727,210,1181,0,2014,10/19/17,0,10/19/17,10/19/17,0,2,2,"List of killings by law enforcement officers in the United States, 2011",8/21/14,7/26/14,2799,216.1600572,1376,2,606,0.000153103,0.000504032,10,0.005025126,4,0.00201005,6,0.003015075,15,6,9,1.76E-05,blm,261,0.09408796,0.961926484,157.5127397,72.66418054,89,137,195,10,20,20
Chibike94,21970264,0,0,0,1,2014,7/31/14,1169,10/12/17,7/31/14,1,1,1,Ebola virus disease,7/31/14,7/31/14,2,-3,1,1,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,ebola,1,0.5,0.38040304,-2.999850007,-2.999850007,1,2,2,0,0,0
Chief hiccup horrendous haddock,21480626,0.88137709,2,52,1,2014,7/16/14,1186,10/14/17,7/16/14,0,2,2,2014 FIFA World Cup Brazil (video game),6/9/14,5/25/14,26,-61.76923077,10,2,87,2.20E-05,0.000513841,4,0.00201005,2,0.001005025,2,0.001005025,6,4,2,6.25E-05,fifa,9,0.36,0.58248752,-76.66630159,-105.4204978,6,19,21,0,0,2
Chiffchaff2015,25571777,0,0,0,1,2015,6/22/15,850,10/19/17,6/22/15,1,1,1,Charleston church shooting,6/22/15,6/22/15,7,2,1,1,0,0,0.00050226,1,0.000502513,1,0.000502513,0,0,2,2,0,0,blm,0,0,0.38448384,1.999971429,1.999971429,1,7,7,0,0,0
Chizzy92,21965356,0,0,0,1,2014,7/30/14,1170,10/12/17,7/30/14,1,1,1,Ebola virus disease,7/30/14,7/30/14,1,-13,1,1,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,ebola,1,1,0.441332774,-12.99870013,-12.99870013,1,1,1,0,0,0
Chris2787,21381203,0,0,0,1,2014,5/12/14,1251,10/14/17,5/12/14,1,1,1,2014 FIFA World Cup squads,5/12/14,5/12/14,1,-8,1,1,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,fifa,0,0,0.496372825,-7.99920008,-7.99920008,1,1,1,0,0,0
Chyluchicago,22725398,0,0,24,1,2014,10/26/14,1082,10/12/17,10/26/14,0,2,2,West African Ebola virus epidemic,10/26/14,10/2/14,5,83,2,2,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,ebola,0,0,0.603146772,180.3313297,82.99834003,2,5,9,4,0,0
CitiV,22123746,0.483823424,0,288,1,2014,5/23/15,880,10/19/17,5/23/15,0,5,3,Westroads Mall shooting,8/9/14,8/8/14,389,26.55012853,149,3,0,0,0.00050226,3,0.001507538,3,0.001507538,0,0,4,4,0,0,blm,20,0.051679587,0.591613211,31.56344377,26.92427495,147,383,394,9,0,0
Cjsmith.us,21746182,0,0,1033,1,2014,4/30/17,167,10/14/17,4/30/17,0,2,2,1999 FIFA Women's World Cup,7/18/14,7/2/14,11,12.36363636,8,2,3,7.58E-07,0.000502513,4,0.00201005,3,0.001507538,1,0.000502513,5,4,1,0,fifa,1,0.090909091,0.657646774,32.64686678,12.36352397,8,11,17,0,2,1
ClassicOnAStick,21693145,0.734266729,395,1207,0,2014,10/15/17,-1,10/14/17,10/15/17,0,2,2,FIFA 08,7/28/14,6/26/14,4484,6.680196253,1659,2,142,3.59E-05,0.000502513,6,0.003015075,5,0.002512563,1,0.000502513,10,9,1,0.000117054,fifa,481,0.108284557,0.710605241,-5.369120105,5.407244192,329,911,978,5,0,23
Clinton227,23274467,0,0,0,1,2014,11/24/14,1053,10/12/17,11/24/14,1,1,1,Ebola virus disease,11/24/14,11/24/14,1,-208,1,1,0,0,0.00050226,2,0.001005025,2,0.001005025,0,0,3,3,0,7.23E-05,ebola,1,1,0.454107131,-207.9792021,-207.9792021,1,1,1,0,0,0
Clinton30,21179961,0,0,19,1,2014,5/2/14,1261,10/14/17,5/2/14,0,2,2,2014 FIFA World Cup broadcasting rights,5/2/14,4/13/14,2,103.5,2,2,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,fifa,0,0,0.771919426,103.4948253,103.4948253,2,2,2,0,0,0
CookieMonster755,22164567,0.970951735,26,1165,0,2014,10/19/17,0,10/19/17,10/19/17,0,4,3,Shooting of Michael Brown,11/26/14,8/11/14,242,99.90909091,103,3,0,0,0.00050226,2,0.001005025,2,0.001005025,0,0,2,2,0,0,blm,26,0.108786611,0.970951735,0,0,0,0,0,0,0,0
Coolguy1235,23142341,0,0,0,1,2014,11/11/14,1066,10/12/17,11/11/14,1,1,1,Ebola virus,11/11/14,11/11/14,1,25,1,1,0,0,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,0,ebola,1,1,0.112206676,24.99750025,24.99750025,1,1,1,0,0,0
Coolguy922,21562873,0.715444185,24,475,1,2014,9/23/15,752,10/14/17,9/23/15,0,2,2,2014 FIFA World Cup,6/28/14,6/5/14,138,9.942028986,95,2,0,0,0.00050226,3,0.001507538,3,0.001507538,0,0,3,3,0,0,fifa,59,0.427536232,0.633220141,12.29409957,12.29409957,43,68,68,0,0,0
Coreysutphin,26538214,0,0,0,1,2015,10/16/15,734,10/19/17,10/16/15,1,1,1,Shooting of Tamir Rice,10/16/15,10/16/15,1,-2484,1,1,0,0,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,0,blm,1,1,0.211237251,-2483.751625,-2483.751625,1,1,1,0,0,0
Cowpie12345678901,25800235,0,0,0,1,2015,7/18/15,824,10/19/17,7/18/15,1,1,1,Charleston church shooting,7/18/15,7/18/15,2,20,1,1,0,0,0.00050226,1,0.000502513,1,0.000502513,0,0,2,2,0,0,blm,2,1,0.11809229,19.99900005,19.99900005,1,2,2,0,0,0
Crogand3,22632556,0.823122749,0,71,1,2014,12/3/14,1044,10/12/17,12/3/14,1,4,3,Talk:Ebola virus cases in the United States,11/11/14,9/23/14,2,0.5,1,3,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,ebola,0,0,0.823122749,129.7974041,0,0,0,5,0,5,0
Cttuckerrrr,21729600,0,0,11,1,2014,7/11/14,1191,10/14/17,7/11/14,1,1,1,2014 FIFA World Cup Group E,7/4/14,6/30/14,2,0,1,1,0,0,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,0,fifa,2,1,0.683188962,0,0,1,2,2,0,0,0
CyberWarfare,25812203,0.949923867,36,90,1,2015,10/18/15,732,10/19/17,10/18/15,0,2,2,Death of Sandra Bland,7/23/15,7/20/15,694,772.4149856,510,2,0,0,0.000509417,13,0.006532663,0,0,13,0.006532663,15,0,15,0,blm,44,0.063675832,0.947669549,634.7308058,782.6977617,121,169,368,28,47,116
CynthiaAch,21599510,0,0,0,1,2014,6/11/14,1221,10/14/17,6/11/14,1,1,1,2014 FIFA World Cup broadcasting rights,6/11/14,6/11/14,1,3,1,1,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,fifa,0,0,0.774308496,2.99970003,2.99970003,1,1,1,0,0,0
Daddy2d,23617662,0,0,0,1,2014,12/29/14,1025,10/19/17,12/29/14,1,1,1,Shooting of Michael Brown,12/29/14,12/29/14,1,57,1,1,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,blm,0,0,0.628832087,56.99430057,56.99430057,1,1,1,0,0,0
Damvile,23253239,0,0,22,1,2014,12/13/14,1041,10/19/17,12/13/14,0,2,2,Shooting of Michael Brown,11/28/14,11/21/14,306,255.1013072,127,2,94,2.37E-05,0.000502512,3,0.001507538,2,0.001005025,1,0.000502513,10,8,2,0.000201782,blm,2,0.00660066,0.639524024,283.9059311,255.1012238,127,306,383,24,27,11
DangerousJXD,22220474,0,0,1160,0,2014,10/19/17,0,10/19/17,10/19/17,0,2,2,Murdered: Soul Suspect,9/9/14,8/16/14,119,3.504201681,69,2,29259.5,0.007392291,0.000668822,21,0.010552764,8,0.004020101,13,0.006532663,59,25,34,0.020245886,blm,16,0.13559322,0.509514375,116.7886067,3.504198736,69,119,317,3,35,65
Danjuma10,22308202,0,0,1,1,2014,8/25/14,1151,10/19/17,8/25/14,0,2,2,Ferguson unrest,8/25/14,8/24/14,7,294,5,2,0,0,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,0,blm,1,0.142857143,0.607960108,293.9958001,293.9958001,5,7,7,0,0,0
Daqueenonmypeen,23265487,0,0,0,1,2014,11/23/14,1054,10/12/17,11/23/14,1,1,1,Ebola virus disease,11/23/14,11/23/14,2,-366.5,1,1,0,0,0.00050226,1,0.000502513,1,0.000502513,0,0,6,6,0,2.85E-06,ebola,2,1,0.409477899,-366.4816759,-366.4816759,1,2,2,0,0,0
Darcty rice,26896170,0,0,0,1,2015,11/26/15,693,10/19/17,11/26/15,1,1,1,Shooting of Ramarley Graham,11/26/15,11/26/15,1,19,1,1,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,blm,1,1,0.171497761,18.99810019,18.99810019,1,1,1,0,0,0
DatGuy,26830382,0.963564009,249,701,0,2015,10/19/17,0,10/19/17,10/19/17,0,2,2,2014 Kiss of Love protest,11/27/15,11/18/15,3198,504.474359,2540,2,27884.5,0.007044903,0.000668733,154,0.077386935,28,0.014070352,126,0.063316583,252,54,198,0.016577492,blm,320,0.100914538,0.960647274,430.303421,576.3080043,377,555,1829,85,209,773
Dbonte35,22195037,0,0,0,1,2014,8/13/14,1163,10/19/17,8/13/14,1,1,1,Shooting of Michael Brown,8/13/14,8/13/14,1,266,1,1,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,blm,0,0,0.131856038,265.9734027,265.9734027,1,1,1,0,0,0
Deangelohnynjyjyj,22947010,0,0,0,1,2014,10/23/14,1085,10/12/17,10/23/14,1,1,1,Ebola virus cases in the United States,10/23/14,10/23/14,1,-115,1,1,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,ebola,1,1,0.261617764,-114.9885011,-114.9885011,1,1,1,0,0,0
Deeeogo,25780540,0.825749254,53,701,1,2015,6/16/17,125,10/19/17,6/16/17,0,2,2,Murder Was the Case (song),7/29/15,7/16/15,1739,136.2328925,311,2,0,0,0.00050226,2,0.001005025,2,0.001005025,0,0,2,2,0,1.02E-05,blm,98,0.056386651,0.792601695,85.69184386,86.01955264,128,511,516,2,0,0
Deeznutzhagotem,25077931,0,0,140,1,2015,9/22/15,758,10/19/17,9/22/15,1,1,1,2015 Baltimore protests,5/5/15,5/5/15,5,-116.8,2,1,0,0,0.00050226,2,0.001005025,2,0.001005025,0,0,2,2,0,0,blm,3,0.6,0.223355517,-116.797664,-116.797664,2,5,5,0,0,0
DeLittle,24721351,0,0,21,1,2015,5/2/15,901,10/19/17,5/2/15,0,2,2,United States pro-choice movement,4/19/15,4/11/15,26,107.6923077,14,2,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,blm,2,0.076923077,0.737810725,107.6918935,107.6918935,14,26,26,0,0,0
Dengg2,24345691,0,0,0,1,2015,3/7/15,957,10/19/17,3/7/15,1,1,1,Shooting of Michael Brown,3/7/15,3/7/15,1,27,1,1,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,blm,1,1,0.780387442,26.99730027,26.99730027,1,1,1,0,0,0
Denniscabrams,24382878,0.844623657,10,954,0,2015,10/19/17,0,10/19/17,10/19/17,0,2,2,Death of Freddie Gray,5/1/15,3/10/15,685,244.5386861,315,2,0,0,0.00050226,2,0.001005025,2,0.001005025,0,0,3,3,0,0,blm,11,0.016058394,0.829442699,147.7210118,127.1510149,46,86,104,2,14,0
DERPALERT,24532235,0.792702606,2,937,0,2015,10/16/17,3,10/19/17,10/16/17,0,4,3,List of battles and other violent events by death toll,4/8/15,3/24/15,181,94.49171271,61,3,0,0,0.00050226,4,0.00201005,4,0.00201005,0,0,11,11,0,0,blm,5,0.027624309,0.754206591,90.11459228,98.18858661,39,106,157,12,22,11
Desertguardsman,23595994,0,0,303,1,2014,10/25/15,725,10/19/17,10/25/15,1,1,1,Shooting of Michael Brown,12/26/14,12/26/14,1,273,1,1,0,0,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,7.48E-08,blm,1,1,0.471731231,272.9727027,272.9727027,1,1,1,0,0,0
DestinationAlan,21614443,0.731627759,1,958,1,2014,1/26/17,261,10/14/17,1/26/17,0,2,2,2014 FIFA World Cup Final,7/11/14,6/13/14,32,121.625,15,2,0,0,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,2.48E-07,fifa,4,0.125,0.720951091,222.8864124,222.8864124,5,9,9,0,0,0
Dianaoh339,23387877,0,0,14,1,2014,12/18/14,1036,10/19/17,12/18/14,0,2,2,Death of Eric Garner,12/11/14,12/4/14,16,233.3125,9,2,0,0,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,0,blm,2,0.125,0.780304613,196.0377075,233.3110418,9,16,26,0,9,1
DiscantX,23278095,0.96907076,41,1012,1,2014,9/1/17,48,10/19/17,9/1/17,0,2,2,Wikipedia:Articles for deletion/Stop! Or My Dog Will Shoot,12/13/14,11/24/14,904,863.3838496,674,2,0,0,0.000504795,10,0.005025126,0,0,10,0.005025126,11,0,11,0,blm,51,0.056603774,0.964366501,222.1912812,142.6733723,97,147,209,16,14,15
Doc Ayomide,21941077,0,0,11,1,2014,8/8/14,1161,10/12/17,8/8/14,1,1,1,Ebola virus disease,7/28/14,7/28/14,2,-10,2,1,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,ebola,0,0,0.564875719,-9.999500025,-9.999500025,2,2,2,0,0,0
Doctorjokes,22166581,0,0,0,1,2014,8/11/14,1158,10/12/17,8/11/14,1,1,1,West African Ebola virus epidemic,8/11/14,8/11/14,1,218,1,1,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,ebola,1,1,0.097613401,217.9782022,217.9782022,1,1,1,0,0,0
DomanicAssyrian,22951759,0,0,4,1,2014,10/28/14,1080,10/12/17,10/28/14,1,4,3,West African Ebola virus epidemic,10/28/14,10/24/14,4,-6.75,1,3,0,0,0.00050226,1,0.000502513,1,0.000502513,0,0,2,2,0,0,ebola,2,0.5,0.608060539,31.7774247,-6.749831254,1,4,9,0,2,0
Dontmakemetypepasswordagain,26733996,0.776467552,9,213,1,2015,6/7/16,499,10/19/17,6/7/16,0,4,3,Shooting of Laquan McDonald,11/28/15,11/7/15,73,-14.16438356,9,3,0,0,0.000502513,1,0.000502513,0,0,1,0.000502513,1,0,1,0,blm,10,0.136986301,0.732514348,40.14979925,-62.88198305,3,17,20,0,1,2
DoubleDr,23868411,0.831454296,0,81,1,2015,4/13/15,913,10/12/17,4/13/15,0,2,2,West African Ebola virus epidemic,2/17/15,1/22/15,15,497.8666667,12,2,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,ebola,0,0,0.869579362,463.99536,463.99536,8,10,10,0,0,0
Douglas.j.chapman,22301296,0,0,0,1,2014,8/23/14,1153,10/19/17,8/23/14,1,1,1,Ferguson unrest,8/23/14,8/23/14,1,285,1,1,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,blm,1,1,0.225010973,284.9715028,284.9715028,1,1,1,0,0,0
Dr.Oberd,23509049,0.896246349,0,76,1,2014,3/2/15,955,10/12/17,3/2/15,1,1,1,West African Ebola virus epidemic,12/16/14,12/16/14,4,290,3,1,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,ebola,0,0,0.91052523,438.9561044,438.9561044,1,1,1,0,0,0
DuckMan23,22079756,0,0,1,1,2014,8/6/14,1163,10/12/17,8/6/14,1,1,1,West African Ebola virus epidemic,8/5/14,8/5/14,4,8,1,1,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,ebola,1,0.25,0.632479196,7.999800005,7.999800005,1,4,4,0,0,0
Dunkleosteus77,24697189,0.804472781,22,918,0,2015,10/13/17,-1,10/12/17,10/13/17,0,2,2,Ebola virus epidemic in Liberia,5/15/15,4/9/15,621,460.0032206,70,2,492,0.000124302,0.000503524,10,0.005025126,6,0.003015075,4,0.00201005,19,14,5,6.66E-05,ebola,78,0.125806452,0.731169522,435.1341158,589.6180956,39,262,626,97,200,21
Dylang010,22011743,0,0,0,1,2014,8/2/14,1167,10/12/17,8/2/14,1,1,1,Ebola virus disease,8/2/14,8/2/14,1,-2,1,1,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,ebola,0,0,0.433954065,-1.99980002,-1.99980002,1,1,1,0,0,0
E10QZ,22198436,0.721570513,0,197,1,2014,2/27/15,965,10/19/17,2/27/15,1,1,1,Shooting of Michael Brown,8/14/14,8/14/14,4,78.25,3,1,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,blm,0,0,0.640155023,34.49827509,34.49827509,2,2,2,0,0,0
Eat meI'm an azuki,25540432,0.964538781,17,850,0,2015,10/16/17,3,10/19/17,10/16/17,0,2,2,Wikipedia:Articles for deletion/2015 anti-china protest,7/7/15,6/19/15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,543.3134527,68.70723328,61,82,271,2,48,52
Ebola guy,21959760,0,0,0,1,2014,7/30/14,1170,10/12/17,7/30/14,1,1,1,User talk:Ebola guy,7/30/14,7/30/14,2,12.5,1,1,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,ebola,2,1,0.577961069,231.9922669,12.49937503,1,2,3,0,0,1
Editboyxxx999snipez,22764491,0,0,0,1,2014,10/6/14,1102,10/12/17,10/6/14,1,1,1,Ebola virus,10/6/14,10/6/14,2,31,1,1,0,0,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,0,ebola,2,1,0.104281177,30.99845008,30.99845008,1,2,2,0,0,0
Ek93,21605873,0,0,0,1,2014,6/12/14,1220,10/14/17,6/12/14,1,1,1,2014 FIFA World Cup broadcasting rights,6/12/14,6/12/14,2,-10,1,1,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,fifa,0,0,0.904035608,-9.999500025,-9.999500025,1,2,2,0,0,0
Emily1015,21730821,0,0,0,1,2014,6/30/14,1200,10/12/17,6/30/14,0,2,2,Ebola virus disease,6/30/14,6/30/14,2,43.5,2,2,0,0,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,0,ebola,2,1,0.068910177,43.49782511,43.49782511,2,2,2,0,0,0
Emmyfan,23008268,0,0,30,1,2014,11/28/14,1056,10/19/17,11/28/14,0,2,2,Shooting of Michael Brown,11/28/14,10/29/14,16,638.6875,16,2,0,0,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,0.000182272,blm,4,0.25,0.60573634,638.6835082,638.6835082,16,16,16,0,0,0
Engl1105,24848423,0,0,17,1,2015,5/7/15,896,10/19/17,5/7/15,0,2,2,Ferguson unrest,4/26/15,4/20/15,9,220.6666667,5,2,0,0,0.000502513,1,0.000502513,0,0,1,0.000502513,1,0,1,0,blm,3,0.333333333,0.758455186,198.7487578,220.6642148,5,9,16,0,5,1
Enhickman,22523564,0,0,0,1,2014,9/13/14,1125,10/12/17,9/13/14,1,1,1,West African Ebola virus epidemic,9/13/14,9/13/14,4,-121.5,1,1,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,ebola,2,0.5,0.79540133,-121.4969626,-121.4969626,1,4,4,0,0,0
EoRdE6,22581480,0.968018137,37,1120,0,2014,10/12/17,0,10/12/17,10/12/17,0,2,2,Talk:Ebola virus cases in the United States,10/3/14,9/18/14,626,269.0958466,348,2,10933,0.002762177,0.000532728,45,0.022613065,5,0.002512563,40,0.020100503,75,9,66,0.000236659,ebola,62,0.100323625,0.958504184,531.0116948,235.0121258,111,163,423,58,11,175
Erinarrow,25137754,0,0,872,0,2015,9/28/17,14,10/12/17,9/28/17,1,1,1,Ebola virus epidemic in Liberia,5/10/15,5/10/15,1,-1199,1,1,0,0,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,0,ebola,1,1,0.14566246,-1198.880112,-1198.880112,1,1,1,0,0,0
EternalNomad,24473955,0.784523036,3,943,0,2015,10/17/17,2,10/19/17,10/17/17,0,3,3,Deaths in 2015,3/24/15,3/19/15,84,21.21428571,39,3,0,0,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,0,blm,6,0.071428571,0.765882911,41.04329981,35.42840272,13,21,23,1,1,0
Ethanhuron,24668182,0,0,0,1,2015,4/6/15,927,10/19/17,4/6/15,1,1,1,Ferguson unrest,4/6/15,4/6/15,1,9,1,1,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,blm,1,1,0.258525655,8.99910009,8.99910009,1,1,1,0,0,0
EvanWikiby,21860056,0,0,0,1,2014,7/18/14,1184,10/14/17,7/18/14,0,2,2,2014 FIFA World Cup Final,7/18/14,7/18/14,4,217.75,3,2,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,fifa,0,0,0.828189375,215.9969143,217.7445564,3,4,7,0,3,0
Everrreton,23275635,0,0,370,1,2014,11/29/15,690,10/19/17,11/29/15,1,1,1,Ferguson unrest,11/24/14,11/24/14,2,236,1,1,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,blm,0,0,0.815971409,235.9882006,235.9882006,1,2,2,0,0,0
