wpid,userid,time,death,newcomer_registyear,today,lastedit_tillend,last_censored,last_edit,event_newcomers,first_edit_type,first_edit_type3,first_eventedit_article,first_eventedit_date,registration,article_edits,article_sizediff,unique_articles,first_edit,betweenness,betweenness_norm,closeness_norm,degree,degree_norm,Indegree,Indegree_norm,Outdegree,Outdegree_norm,weighted_degree,weighted_Indegree,weighted_Outdegree,eigen,event,revert_count,revert_ratio,ave_true
Alikaraji78,21553092,47,1,2014,7/21/14,1181,10/14/17,7/21/14,0,2,2,2014 FIFA World Cup squads,6/17/14,6/4/14,20,19.85,4,2,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,fifa,6,0.3,0.799000491
Allegations,25905471,1,1,2015,8/2/15,809,10/19/17,8/2/15,1,3,3,Talk:Shooting of Samuel DuBose,8/1/15,8/1/15,9,18.44444444,1,3,5605,0.00141608,0.000674519,4,0.00201005,2,0.001005025,2,0.001005025,9,5,4,8.79E-07,blm,5,0.555555556,0.559382308
Alpha Monarch,21632347,809,1,2014,9/2/16,407,10/14/17,9/2/16,0,3,3,FIFA,6/20/14,6/16/14,333,128.3573574,202,3,4520,0.001141959,0.000512294,52,0.026130653,13,0.006532663,39,0.01959799,66,20,46,6.12E-06,fifa,46,0.140672783,0.934212946
Alvisprabhu1,22174142,0,1,2014,8/12/14,1157,10/12/17,8/12/14,1,1,1,West African Ebola virus epidemic,8/12/14,8/12/14,1,0,1,1,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,ebola,0,0,0.247075
Amax1701,25757421,141,1,2015,12/1/15,688,10/19/17,12/1/15,0,2,2,2015 Baltimore protests,7/14/15,7/13/15,23,12.34782609,16,2,0,0,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,0,blm,5,0.217391304,0.544437155
Ammorain,22736357,328,1,2014,8/27/15,777,10/12/17,8/27/15,0,2,2,Responses to the West African Ebola virus epidemic,10/3/14,10/3/14,40,501.925,11,2,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,ebola,5,0.125,0.830314713
Amortias,21319995,1262,0,2014,10/16/17,3,10/19/17,10/16/17,0,5,3,"Wikipedia:Articles for deletion/List of killings by law enforcement officers in the United States, June 2014",5/8/14,5/3/14,2472,431.8855178,1954,3,3998,0.001010078,0.000548241,188,0.094472362,24,0.012060302,164,0.08241206,224,32,192,7.72E-05,blm,287,0.118252987,0.944140876
AngelisDragon,23051129,1,1,2014,11/3/14,1074,10/12/17,11/3/14,1,1,1,Ebola virus epidemic in Liberia,11/2/14,11/2/14,3,-22.33333333,2,1,0,0,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,0.000195397,ebola,1,0.333333333,0.649763649
Anouyous151,25857880,4,1,2015,7/30/15,812,10/19/17,7/30/15,1,1,1,Death of Sandra Bland,7/27/15,7/26/15,3,0.333333333,3,1,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,blm,2,0.666666667,0.394599975
Anthony112358,24732752,0,1,2015,4/11/15,915,10/12/17,4/11/15,1,1,1,West African Ebola virus epidemic,4/11/15,4/11/15,1,0,1,1,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,ebola,1,1,0.596138258
Anuragpai123,21458734,9,1,2014,5/31/14,1232,10/14/17,5/31/14,0,2,2,2014 FIFA World Cup bids,5/26/14,5/22/14,5,-6.4,4,2,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,fifa,0,0,0.669427901
Aparuthi,22646930,71,1,2014,12/5/14,1042,10/12/17,12/5/14,1,4,3,Talk:Ebola virus cases in the United States,11/10/14,9/25/14,11,-461.0909091,1,3,0,0,0.00050226,3,0.001507538,3,0.001507538,0,0,10,10,0,1.52E-06,ebola,0,0,0.838850569
Apox 24,22213692,0,1,2014,8/15/14,1154,10/12/17,8/15/14,1,1,1,West African Ebola virus epidemic,8/15/14,8/15/14,2,-57,1,1,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,ebola,0,0,0.485025634
Aragornbattle,22806372,0,1,2014,10/10/14,1098,10/12/17,10/10/14,1,1,1,West African Ebola virus epidemic,10/10/14,10/10/14,3,20.33333333,1,1,0,0,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,0,ebola,0,0,0.373198159
Ariq maul,21797377,0,1,2014,7/10/14,1192,10/14/17,7/10/14,1,1,1,Brazil v Germany (2014 FIFA World Cup),7/10/14,7/10/14,2,-35,1,1,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,fifa,2,1,0.436317197
Arjunsanyal,21538496,1222,0,2014,10/6/17,8,10/14/17,10/6/17,0,2,2,2018 FIFA World Cup,6/5/14,6/2/14,63,45.47619048,16,2,0,0,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,0,fifa,39,0.629032258,0.81125581
Arsalan a.gh,21550334,98,1,2014,9/10/14,1130,10/14/17,9/10/14,1,1,1,2014 FIFA World Cup officials,6/20/14,6/4/14,6,28.5,5,1,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,fifa,0,0,0.879545197
Arslan963,21421968,0,1,2014,5/17/14,1246,10/14/17,5/17/14,0,2,2,2014 FIFA World Cup qualification,5/17/14,5/17/14,3,160,3,2,0,0,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,0,fifa,3,1,0.360961507
Asere3000,26389553,0,1,2015,9/29/15,751,10/19/17,9/29/15,1,1,1,Shooting of Akai Gurley,9/29/15,9/29/15,1,95,1,1,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,blm,0,0,0.112156064
Ashish kumar sharma99,21786302,0,1,2014,7/8/14,1194,10/14/17,7/8/14,1,1,1,2014 FIFA World Cup broadcasting rights,7/8/14,7/8/14,1,12,1,1,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,fifa,1,1,0.856548602
Ashu-97,21624226,64,1,2014,8/18/14,1153,10/14/17,8/18/14,1,1,1,2014 FIFA World Cup broadcasting rights,6/15/14,6/15/14,4,83,2,1,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,fifa,0,0,0.944688056
Asniaaprilia,21348121,0,1,2014,5/7/14,1256,10/14/17,5/7/14,1,1,1,2014 FIFA World Cup squads,5/7/14,5/7/14,2,221.5,1,1,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,fifa,0,0,0.548803937
Asracing120,23254673,0,1,2014,11/22/14,1055,10/12/17,11/22/14,1,1,1,Ebola virus disease,11/22/14,11/22/14,1,111,1,1,0,0,0.00050226,1,0.000502513,1,0.000502513,0,0,2,2,0,0,ebola,1,1,0.182313105
Assasin chan666,22822332,0,1,2014,10/12/14,1096,10/12/17,10/12/14,1,1,1,West African Ebola virus epidemic,10/12/14,10/12/14,1,55,1,1,0,0,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,5.17E-05,ebola,0,0,0.441661894
Aurelienreys,21306816,0,1,2014,5/1/14,1262,10/14/17,5/1/14,0,2,2,2013 protests in Brazil,5/1/14,5/1/14,12,119.6666667,8,2,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,fifa,5,0.416666667,0.6497361
AutonomousOrangePages,23378365,1,1,2014,12/4/14,1050,10/19/17,12/4/14,1,1,1,Shooting of Tamir Rice,12/4/14,12/3/14,1,0,1,1,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,blm,1,1,0.552904328
AuxZane,22488679,421,1,2014,11/5/15,707,10/12/17,11/5/15,0,2,2,West African Ebola virus epidemic,10/15/14,9/10/14,18,3.277777778,11,2,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,ebola,3,0.166666667,0.517591738
BadDJ,25823689,5,1,2015,7/27/15,815,10/19/17,7/27/15,0,2,2,Death of Sandra Bland,7/27/15,7/22/15,16,48.625,3,2,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,blm,0,0,0.323704272
Bal Mungram,21767315,1156,1,2014,9/4/17,40,10/14/17,9/4/17,1,1,1,2014 FIFA World Cup Brazil (video game),7/6/14,7/6/14,3,122.6666667,2,1,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,fifa,0,0,0.560051157
Bander.Quraishi,22332479,15,1,2014,9/10/14,1135,10/19/17,9/10/14,1,1,1,Shooting of Michael Brown,9/10/14,8/26/14,1,5,1,1,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,blm,0,0,0.638535596
Barnaby.rostant,21714764,0,1,2014,6/28/14,1204,10/14/17,6/28/14,1,1,1,2014 FIFA World Cup Group D,6/28/14,6/28/14,1,-108,1,1,0,0,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,0,fifa,1,1,0.72881759
Basefut,21738163,0,1,2014,7/1/14,1201,10/14/17,7/1/14,0,2,2,2014 FIFA World Cup knockout stage,7/1/14,7/1/14,6,21.5,6,2,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,fifa,0,0,0.556586814
BatHunter,22065417,140,1,2014,12/23/14,1031,10/19/17,12/23/14,1,1,1,Shooting of Renisha McBride,8/5/14,8/5/14,8,176.75,3,1,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,blm,0,0,0.63779076
Bbetev2,21783006,10,1,2014,7/18/14,1184,10/14/17,7/18/14,0,2,2,Brazil v Germany (2014 FIFA World Cup),7/10/14,7/8/14,10,18.8,5,2,0,0,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,0,fifa,2,0.2,0.628020857
Benjaminherberger,21635583,193,1,2014,12/27/14,1022,10/14/17,12/27/14,1,1,1,List of 2014 FIFA World Cup controversies,6/17/14,6/17/14,3,670.6666667,2,1,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,fifa,0,0,0.661828196
Bhavinderrao9,21896149,12,1,2014,8/4/14,1165,10/12/17,8/4/14,1,1,1,Ebola virus disease,8/4/14,7/23/14,1,159,1,1,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,ebola,0,0,0.655918557
Big12isu,23369095,0,1,2014,12/3/14,1051,10/19/17,12/3/14,1,1,1,Ferguson unrest,12/3/14,12/3/14,1,91,1,1,0,0,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,0,blm,1,1,0.217447368
BigFaCL,21314864,0,1,2014,5/2/14,1261,10/14/17,5/2/14,1,1,1,We Are One (Ole Ola),5/2/14,5/2/14,1,44,1,1,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,fifa,0,0,0.616867863
Bluemousered,23334109,967,1,2014,7/23/17,88,10/19/17,7/23/17,1,1,1,Shooting of Michael Brown,11/29/14,11/29/14,1,13,1,1,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,blm,0,0,0.597886027
Blzjms,23377306,0,1,2014,12/3/14,1051,10/19/17,12/3/14,1,1,1,Death of Eric Garner,12/3/14,12/3/14,1,-82,1,1,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,blm,0,0,0.463484888
Bmf 051,21404818,1248,0,2014,10/14/17,0,10/14/17,10/14/17,0,4,3,2015 FIFA Women's World Cup,6/5/14,5/15/14,504,54.8531746,167,3,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,fifa,15,0.03006012,0.842259552
BookOfJahMez,22961808,0,1,2014,10/25/14,1083,10/12/17,10/25/14,1,1,1,Ebola virus cases in the United States,10/25/14,10/25/14,1,2218,1,1,0,0,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,1.12E-06,ebola,0,0,0.516821274
BoomChakaLakaBoom,23566036,0,1,2014,12/23/14,1031,10/19/17,12/23/14,1,1,1,Shooting of John Crawford III,12/23/14,12/23/14,1,12,1,1,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,blm,0,0,0.291715003
BoricuaBonita,25871548,0,1,2015,7/28/15,814,10/19/17,7/28/15,1,1,1,Death of Sandra Bland,7/28/15,7/28/15,1,-44,1,1,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,blm,0,0,0.522736917
BrianGroen,22058183,657,1,2014,5/22/16,508,10/12/17,5/22/16,1,1,1,West African Ebola virus epidemic,8/4/14,8/4/14,1374,51.17103348,16,1,5772,0.001458272,0.000519185,10,0.005025126,4,0.00201005,6,0.003015075,30,11,19,8.05E-05,ebola,62,0.045621781,0.832137397
BunnyTaker55,22945140,0,1,2014,10/23/14,1092,10/19/17,10/23/14,0,2,2,Death of Eric Garner,10/23/14,10/23/14,2,-24,2,2,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,blm,0,0,0.200642161
Cabj94,21373646,1251,0,2014,10/12/17,2,10/14/17,10/12/17,0,2,2,2014 Women's Hockey World Cup,6/8/14,5/10/14,1948,498.0811088,184,2,0,0,0.00050226,5,0.002512563,5,0.002512563,0,0,8,8,0,0,fifa,18,0.00933126,0.820092358
Caealn,21564287,1073,1,2014,5/14/17,153,10/14/17,5/14/17,0,2,2,Brazil national football team,7/9/14,6/6/14,597,42.34338358,380,2,7,1.77E-06,0.000502765,6,0.003015075,4,0.00201005,2,0.001005025,8,4,4,0,fifa,73,0.123102867,0.72126375
CalLightman1990,26729435,46,1,2015,12/23/15,666,10/19/17,12/23/15,0,2,2,Death of Sandra Bland,12/23/15,11/7/15,5,135.6,2,2,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,blm,0,0,0.656538044
Calthaus,22394843,99,1,2014,12/9/14,1038,10/12/17,12/9/14,1,1,1,West African Ebola virus epidemic,9/19/14,9/1/14,3,792.3333333,2,1,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,ebola,0,0,0.960205025
Car200,21926087,0,1,2014,7/26/14,1174,10/12/17,7/26/14,1,1,1,West African Ebola virus epidemic,7/26/14,7/26/14,2,123,1,1,0,0,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,0,ebola,0,0,0.688512405
Carcake1999,22493912,36,1,2014,10/16/14,1092,10/12/17,10/16/14,0,2,2,Ebola virus cases in the United States,10/8/14,9/10/14,149,9.416107383,93,2,194,4.90E-05,0.000502765,7,0.003517588,5,0.002512563,2,0.001005025,8,6,2,0.000102597,ebola,49,0.331081081,0.658717819
Cathar66,23395611,969,1,2014,7/31/17,80,10/19/17,7/31/17,0,4,3,32 County Sovereignty Movement,1/2/15,12/5/14,352,258.0539773,123,3,1,2.53E-07,0.000502512,2,0.001005025,1,0.000502513,1,0.000502513,4,1,3,0,blm,43,0.122159091,0.722655771
Cbowman7289,22645352,483,1,2014,1/20/16,631,10/12/17,1/20/16,1,4,3,Talk:Ebola virus cases in the United States,11/10/14,9/24/14,1,2335,1,3,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,ebola,0,0,0.970982682
Cbursaw,23398438,929,1,2014,6/21/17,120,10/19/17,6/21/17,0,2,2,Shooting of Tony Robinson,3/12/15,12/5/14,287,-27.24041812,42,2,0,0,0.00050226,1,0.000502513,1,0.000502513,0,0,2,2,0,0,blm,6,0.020905923,0.790060876
CDC Latam,22210107,0,1,2014,8/15/14,1154,10/12/17,8/15/14,1,1,1,West African Ebola virus epidemic,8/15/14,8/15/14,1,78,1,1,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,ebola,1,1,0.083624863
Cewlt,24382660,708,1,2015,2/15/17,246,10/19/17,2/15/17,0,2,2,Charleston church shooting,6/19/15,3/10/15,33,57.27272727,10,2,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,blm,1,0.03030303,0.744830585
Cfavsmba,23580749,0,1,2014,12/24/14,1030,10/19/17,12/24/14,0,2,2,Ferguson unrest,12/24/14,12/24/14,3,17,2,2,0,0,0.00050226,1,0.000502513,1,0.000502513,0,0,2,2,0,0,blm,3,1,0.290799833
Cfcgau,23042377,0,1,2014,11/2/14,1075,10/12/17,11/2/14,1,1,1,West African Ebola virus epidemic,11/2/14,11/2/14,1,-7,1,1,0,0,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,0.000195397,ebola,1,1,0.55276323
Chaiso123,23399457,0,1,2014,12/6/14,1041,10/12/17,12/6/14,0,2,2,West African Ebola virus epidemic,12/6/14,12/6/14,3,3,3,2,0,0,0.000502765,2,0.001005025,1,0.000502513,1,0.000502513,2,1,1,0,ebola,1,0.333333333,0.461457377
ChamithN,21929136,1181,0,2014,10/19/17,0,10/19/17,10/19/17,0,2,2,"List of killings by law enforcement officers in the United States, 2011",8/21/14,7/26/14,2799,216.1600572,1376,2,606,0.000153103,0.000504032,10,0.005025126,4,0.00201005,6,0.003015075,15,6,9,1.76E-05,blm,261,0.09408796,0.961926484
Chibike94,21970264,0,1,2014,7/31/14,1169,10/12/17,7/31/14,1,1,1,Ebola virus disease,7/31/14,7/31/14,2,-3,1,1,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,ebola,1,0.5,0.38040304
Chief hiccup horrendous haddock,21480626,52,1,2014,7/16/14,1186,10/14/17,7/16/14,0,2,2,2014 FIFA World Cup Brazil (video game),6/9/14,5/25/14,26,-61.76923077,10,2,87,2.20E-05,0.000513841,4,0.00201005,2,0.001005025,2,0.001005025,6,4,2,6.25E-05,fifa,9,0.36,0.58248752
Chiffchaff2015,25571777,0,1,2015,6/22/15,850,10/19/17,6/22/15,1,1,1,Charleston church shooting,6/22/15,6/22/15,7,2,1,1,0,0,0.00050226,1,0.000502513,1,0.000502513,0,0,2,2,0,0,blm,0,0,0.38448384
Chizzy92,21965356,0,1,2014,7/30/14,1170,10/12/17,7/30/14,1,1,1,Ebola virus disease,7/30/14,7/30/14,1,-13,1,1,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,ebola,1,1,0.441332774
Chris2787,21381203,0,1,2014,5/12/14,1251,10/14/17,5/12/14,1,1,1,2014 FIFA World Cup squads,5/12/14,5/12/14,1,-8,1,1,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,fifa,0,0,0.496372825
Chyluchicago,22725398,24,1,2014,10/26/14,1082,10/12/17,10/26/14,0,2,2,West African Ebola virus epidemic,10/26/14,10/2/14,5,83,2,2,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,ebola,0,0,0.603146772
CitiV,22123746,288,1,2014,5/23/15,880,10/19/17,5/23/15,0,5,3,Westroads Mall shooting,8/9/14,8/8/14,389,26.55012853,149,3,0,0,0.00050226,3,0.001507538,3,0.001507538,0,0,4,4,0,0,blm,20,0.051679587,0.591613211
Cjsmith.us,21746182,1033,1,2014,4/30/17,167,10/14/17,4/30/17,0,2,2,1999 FIFA Women's World Cup,7/18/14,7/2/14,11,12.36363636,8,2,3,7.58E-07,0.000502513,4,0.00201005,3,0.001507538,1,0.000502513,5,4,1,0,fifa,1,0.090909091,0.657646774
ClassicOnAStick,21693145,1207,0,2014,10/15/17,-1,10/14/17,10/15/17,0,2,2,FIFA 08,7/28/14,6/26/14,4484,6.680196253,1659,2,142,3.59E-05,0.000502513,6,0.003015075,5,0.002512563,1,0.000502513,10,9,1,0.000117054,fifa,481,0.108284557,0.710605241
Clinton227,23274467,0,1,2014,11/24/14,1053,10/12/17,11/24/14,1,1,1,Ebola virus disease,11/24/14,11/24/14,1,-208,1,1,0,0,0.00050226,2,0.001005025,2,0.001005025,0,0,3,3,0,7.23E-05,ebola,1,1,0.454107131
Clinton30,21179961,19,1,2014,5/2/14,1261,10/14/17,5/2/14,0,2,2,2014 FIFA World Cup broadcasting rights,5/2/14,4/13/14,2,103.5,2,2,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,fifa,0,0,0.771919426
CookieMonster755,22164567,1165,0,2014,10/19/17,0,10/19/17,10/19/17,0,4,3,Shooting of Michael Brown,11/26/14,8/11/14,242,99.90909091,103,3,0,0,0.00050226,2,0.001005025,2,0.001005025,0,0,2,2,0,0,blm,26,0.108786611,0.970951735
Coolguy1235,23142341,0,1,2014,11/11/14,1066,10/12/17,11/11/14,1,1,1,Ebola virus,11/11/14,11/11/14,1,25,1,1,0,0,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,0,ebola,1,1,0.112206676
Coolguy922,21562873,475,1,2014,9/23/15,752,10/14/17,9/23/15,0,2,2,2014 FIFA World Cup,6/28/14,6/5/14,138,9.942028986,95,2,0,0,0.00050226,3,0.001507538,3,0.001507538,0,0,3,3,0,0,fifa,59,0.427536232,0.633220141
Coreysutphin,26538214,0,1,2015,10/16/15,734,10/19/17,10/16/15,1,1,1,Shooting of Tamir Rice,10/16/15,10/16/15,1,-2484,1,1,0,0,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,0,blm,1,1,0.211237251
Cowpie12345678901,25800235,0,1,2015,7/18/15,824,10/19/17,7/18/15,1,1,1,Charleston church shooting,7/18/15,7/18/15,2,20,1,1,0,0,0.00050226,1,0.000502513,1,0.000502513,0,0,2,2,0,0,blm,2,1,0.11809229
Crogand3,22632556,71,1,2014,12/3/14,1044,10/12/17,12/3/14,1,4,3,Talk:Ebola virus cases in the United States,11/11/14,9/23/14,2,0.5,1,3,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,ebola,0,0,0.823122749
Cttuckerrrr,21729600,11,1,2014,7/11/14,1191,10/14/17,7/11/14,1,1,1,2014 FIFA World Cup Group E,7/4/14,6/30/14,2,0,1,1,0,0,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,0,fifa,2,1,0.683188962
CyberWarfare,25812203,90,1,2015,10/18/15,732,10/19/17,10/18/15,0,2,2,Death of Sandra Bland,7/23/15,7/20/15,694,772.4149856,510,2,0,0,0.000509417,13,0.006532663,0,0,13,0.006532663,15,0,15,0,blm,44,0.063675832,0.947669549
CynthiaAch,21599510,0,1,2014,6/11/14,1221,10/14/17,6/11/14,1,1,1,2014 FIFA World Cup broadcasting rights,6/11/14,6/11/14,1,3,1,1,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,fifa,0,0,0.774308496
Daddy2d,23617662,0,1,2014,12/29/14,1025,10/19/17,12/29/14,1,1,1,Shooting of Michael Brown,12/29/14,12/29/14,1,57,1,1,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,blm,0,0,0.628832087
Damvile,23253239,22,1,2014,12/13/14,1041,10/19/17,12/13/14,0,2,2,Shooting of Michael Brown,11/28/14,11/21/14,306,255.1013072,127,2,94,2.37E-05,0.000502512,3,0.001507538,2,0.001005025,1,0.000502513,10,8,2,0.000201782,blm,2,0.00660066,0.639524024
DangerousJXD,22220474,1160,0,2014,10/19/17,0,10/19/17,10/19/17,0,2,2,Murdered: Soul Suspect,9/9/14,8/16/14,119,3.504201681,69,2,29259.5,0.007392291,0.000668822,21,0.010552764,8,0.004020101,13,0.006532663,59,25,34,0.020245886,blm,16,0.13559322,0.509514375
Danjuma10,22308202,1,1,2014,8/25/14,1151,10/19/17,8/25/14,0,2,2,Ferguson unrest,8/25/14,8/24/14,7,294,5,2,0,0,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,0,blm,1,0.142857143,0.607960108
Daqueenonmypeen,23265487,0,1,2014,11/23/14,1054,10/12/17,11/23/14,1,1,1,Ebola virus disease,11/23/14,11/23/14,2,-366.5,1,1,0,0,0.00050226,1,0.000502513,1,0.000502513,0,0,6,6,0,2.85E-06,ebola,2,1,0.409477899
Darcty rice,26896170,0,1,2015,11/26/15,693,10/19/17,11/26/15,1,1,1,Shooting of Ramarley Graham,11/26/15,11/26/15,1,19,1,1,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,blm,1,1,0.171497761
DatGuy,26830382,701,0,2015,10/19/17,0,10/19/17,10/19/17,0,2,2,2014 Kiss of Love protest,11/27/15,11/18/15,3198,504.474359,2540,2,27884.5,0.007044903,0.000668733,154,0.077386935,28,0.014070352,126,0.063316583,252,54,198,0.016577492,blm,320,0.100914538,0.960647274
Dbonte35,22195037,0,1,2014,8/13/14,1163,10/19/17,8/13/14,1,1,1,Shooting of Michael Brown,8/13/14,8/13/14,1,266,1,1,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,blm,0,0,0.131856038
Deangelohnynjyjyj,22947010,0,1,2014,10/23/14,1085,10/12/17,10/23/14,1,1,1,Ebola virus cases in the United States,10/23/14,10/23/14,1,-115,1,1,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,ebola,1,1,0.261617764
Deeeogo,25780540,701,1,2015,6/16/17,125,10/19/17,6/16/17,0,2,2,Murder Was the Case (song),7/29/15,7/16/15,1739,136.2328925,311,2,0,0,0.00050226,2,0.001005025,2,0.001005025,0,0,2,2,0,1.02E-05,blm,98,0.056386651,0.792601695
Deeznutzhagotem,25077931,140,1,2015,9/22/15,758,10/19/17,9/22/15,1,1,1,2015 Baltimore protests,5/5/15,5/5/15,5,-116.8,2,1,0,0,0.00050226,2,0.001005025,2,0.001005025,0,0,2,2,0,0,blm,3,0.6,0.223355517
DeLittle,24721351,21,1,2015,5/2/15,901,10/19/17,5/2/15,0,2,2,United States pro-choice movement,4/19/15,4/11/15,26,107.6923077,14,2,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,blm,2,0.076923077,0.737810725
Dengg2,24345691,0,1,2015,3/7/15,957,10/19/17,3/7/15,1,1,1,Shooting of Michael Brown,3/7/15,3/7/15,1,27,1,1,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,blm,1,1,0.780387442
Denniscabrams,24382878,954,0,2015,10/19/17,0,10/19/17,10/19/17,0,2,2,Death of Freddie Gray,5/1/15,3/10/15,685,244.5386861,315,2,0,0,0.00050226,2,0.001005025,2,0.001005025,0,0,3,3,0,0,blm,11,0.016058394,0.829442699
DERPALERT,24532235,937,0,2015,10/16/17,3,10/19/17,10/16/17,0,4,3,List of battles and other violent events by death toll,4/8/15,3/24/15,181,94.49171271,61,3,0,0,0.00050226,4,0.00201005,4,0.00201005,0,0,11,11,0,0,blm,5,0.027624309,0.754206591
Desertguardsman,23595994,303,1,2014,10/25/15,725,10/19/17,10/25/15,1,1,1,Shooting of Michael Brown,12/26/14,12/26/14,1,273,1,1,0,0,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,7.48E-08,blm,1,1,0.471731231
DestinationAlan,21614443,958,1,2014,1/26/17,261,10/14/17,1/26/17,0,2,2,2014 FIFA World Cup Final,7/11/14,6/13/14,32,121.625,15,2,0,0,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,2.48E-07,fifa,4,0.125,0.720951091
Dianaoh339,23387877,14,1,2014,12/18/14,1036,10/19/17,12/18/14,0,2,2,Death of Eric Garner,12/11/14,12/4/14,16,233.3125,9,2,0,0,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,0,blm,2,0.125,0.780304613
DiscantX,23278095,1012,1,2014,9/1/17,48,10/19/17,9/1/17,0,2,2,Wikipedia:Articles for deletion/Stop! Or My Dog Will Shoot,12/13/14,11/24/14,904,863.3838496,674,2,0,0,0.000504795,10,0.005025126,0,0,10,0.005025126,11,0,11,0,blm,51,0.056603774,0.964366501
Doc Ayomide,21941077,11,1,2014,8/8/14,1161,10/12/17,8/8/14,1,1,1,Ebola virus disease,7/28/14,7/28/14,2,-10,2,1,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,ebola,0,0,0.564875719
Doctorjokes,22166581,0,1,2014,8/11/14,1158,10/12/17,8/11/14,1,1,1,West African Ebola virus epidemic,8/11/14,8/11/14,1,218,1,1,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,ebola,1,1,0.097613401
DomanicAssyrian,22951759,4,1,2014,10/28/14,1080,10/12/17,10/28/14,1,4,3,West African Ebola virus epidemic,10/28/14,10/24/14,4,-6.75,1,3,0,0,0.00050226,1,0.000502513,1,0.000502513,0,0,2,2,0,0,ebola,2,0.5,0.608060539
Dontmakemetypepasswordagain,26733996,213,1,2015,6/7/16,499,10/19/17,6/7/16,0,4,3,Shooting of Laquan McDonald,11/28/15,11/7/15,73,-14.16438356,9,3,0,0,0.000502513,1,0.000502513,0,0,1,0.000502513,1,0,1,0,blm,10,0.136986301,0.732514348
