wpid,userid,user_type,event,edit_count,revert_count,revert_ratio,ave_true,final_check
Cewlt,24382660,2,blm,33,1,0.03030303,0.744830585,0
Cfavsmba,23580749,2,blm,3,3,1,0.290799833,0
Cfcgau,23042377,1,ebola,1,1,1,0.55276323,0
Chaiso123,23399457,2,ebola,3,1,0.333333333,0.461457377,0
ChamithN,21929136,2,blm,2796,261,0.09408796,0.961926484,0
Chibike94,21970264,1,ebola,2,1,0.5,0.38040304,0
Chief hiccup horrendous haddock,21480626,2,fifa,26,9,0.36,0.58248752,0
Chiffchaff2015,25571777,1,blm,7,0,0,0.38448384,0
Chizzy92,21965356,1,ebola,1,1,1,0.441332774,0
Chris2787,21381203,1,fifa,1,0,0,0.496372825,0
Chyluchicago,22725398,2,ebola,5,0,0,0.603146772,0
CitiV,22123746,3,blm,389,20,0.051679587,0.591613211,0
Cjsmith.us,21746182,2,fifa,11,1,0.090909091,0.657646774,0
ClassicOnAStick,21693145,2,fifa,4484,481,0.108284557,0.710605241,0
Clinton227,23274467,1,ebola,1,1,1,0.454107131,0
Clinton30,21179961,2,fifa,2,0,0,0.771919426,0
CookieMonster755,22164567,3,blm,242,26,0.108786611,0.970951735,0
Coolguy1235,23142341,1,ebola,1,1,1,0.112206676,0
Coolguy922,21562873,2,fifa,138,59,0.427536232,0.633220141,0
Coreysutphin,26538214,1,blm,1,1,1,0.211237251,0
Cowpie12345678901,25800235,1,blm,2,2,1,0.11809229,0
Cranberry Products,21375375,3,blm,92,1,0.010869565,0.847374198,1
Crogand3,22632556,3,ebola,2,0,0,0.823122749,0
Crystallizedcarbon,22150306,3,blm,266,22,0.083333333,0.965403227,1
Cttuckerrrr,21729600,1,fifa,2,2,1,0.683188962,0
CyanoTex,24347243,3,blm,151,11,0.072847682,0.964157939,1
CyberWarfare,25812203,2,blm,691,44,0.063675832,0.947669549,0
CynthiaAch,21599510,1,fifa,1,0,0,0.774308496,0
DERPALERT,24532235,3,blm,181,5,0.027624309,0.754206591,0
Daddy2d,23617662,1,blm,1,0,0,0.628832087,0
Damvile,23253239,2,blm,306,2,0.00660066,0.639524024,0
DangerousJXD,22220474,2,blm,119,16,0.13559322,0.509514375,0
Danjuma10,22308202,2,blm,7,1,0.142857143,0.607960108,0
Daqueenonmypeen,23265487,1,ebola,2,2,1,0.409477899,0
Darcty rice,26896170,1,blm,1,1,1,0.171497761,0
DatGuy,26830382,2,blm,3171,320,0.100914538,0.960647274,0
Dbonte35,22195037,1,blm,1,0,0,0.131856038,0
DeLittle,24721351,2,blm,26,2,0.076923077,0.737810725,0
Deangelohnynjyjyj,22947010,1,ebola,1,1,1,0.261617764,0
Deeeogo,25780540,2,blm,1739,98,0.056386651,0.792601695,0
Deeznutzhagotem,25077931,1,blm,5,3,0.6,0.223355517,0
Dengg2,24345691,1,blm,1,1,1,0.780387442,0
Denniscabrams,24382878,2,blm,685,11,0.016058394,0.829442699,0
Desertguardsman,23595994,1,blm,1,1,1,0.471731231,0
DestinationAlan,21614443,2,fifa,32,4,0.125,0.720951091,0
Dianaoh339,23387877,2,blm,16,2,0.125,0.780304613,0
DiscantX,23278095,2,blm,902,51,0.056603774,0.964366501,0
Doc Ayomide,21941077,1,ebola,2,0,0,0.564875719,0
Doctorjokes,22166581,1,ebola,1,1,1,0.097613401,0
DomanicAssyrian,22951759,3,ebola,4,2,0.5,0.608060539,0
Dontmakemetypepasswordagain,26733996,3,blm,73,10,0.136986301,0.732514348,0
DoubleDr,23868411,2,ebola,15,0,0,0.869579362,0
Douglas.j.chapman,22301296,1,blm,1,1,1,0.225010973,0
Dr.Oberd,23509049,1,ebola,4,0,0,0.91052523,0
DuckMan23,22079756,1,ebola,4,1,0.25,0.632479196,0
Dunkleosteus77,24697189,2,ebola,621,78,0.125806452,0.731169522,0
Dylang010,22011743,1,ebola,1,0,0,0.433954065,0
E10QZ,22198436,1,blm,4,0,0,0.640155023,0
"Eat me, I'm an azuki",25540432,2,blm,424,20,0.047393365,0.958538634,0
Ebola guy,21959760,1,ebola,2,2,1,0.577961069,0
Editboyxxx999snipez,22764491,1,ebola,2,2,1,0.104281177,0
Ek93,21605873,1,fifa,2,0,0,0.904035608,0
Emily1015,21730821,2,ebola,2,2,1,0.068910177,0
Emmyfan,23008268,2,blm,16,4,0.25,0.60573634,0
Engl1105,24848423,2,blm,9,3,0.333333333,0.758455186,0
Enhickman,22523564,1,ebola,4,2,0.5,0.79540133,0
EoRdE6,22581480,2,ebola,625,62,0.100323625,0.958504184,0
Equinox,24880950,2,blm,712,6,0.008426966,0.688486837,1
Erinarrow,25137754,1,ebola,1,1,1,0.14566246,0
