wpid,userid,user_type,event,edit_count,revert_count,revert_ratio,ave_true,final_check
Rondo33,25866009,3,blm,1,0,0,0.152402189,0
Ronit.Dey.357,21710434,2,ebola,2,2,1,0.348160302,1
Rpdodds,21609041,2,fifa,5,0,0,0.639669402,0
Rusavuk,24848124,2,blm,25,2,0.08,0.793164223,0
Russsdean,21799547,1,fifa,1,1,1,0.774364353,0
S3oody8,26802104,1,blm,2,1,0.5,0.342810727,0
SLCLibraryGirl,21854618,1,blm,14,2,0.153846154,0.825410222,1
Saeranv,22278526,3,blm,3,1,0.333333333,0.611716222,0
Sage1982,25517950,2,blm,11,0,0,0.841827494,0
Sam3026885,23721311,1,ebola,4,4,1,0.520075493,0
SamSkulls,21825329,1,fifa,22,0,0,0.709959553,0
SamanthaAnnesley,25098281,1,blm,1,1,1,0.497493264,0
SamuelOdinga,22376301,2,ebola,79,2,0.025974026,0.503742265,0
Samuelrowland,21526810,3,fifa,51,2,0.039215686,0.607602272,0
Sankhu01,21819126,1,fifa,6,3,0.6,0.570562115,0
Sarahkooper,23520820,1,ebola,2,0,0,0.873988689,0
Sarahlively,26639426,2,blm,18,3,0.166666667,0.72931849,1
Saricmu,22035931,2,ebola,4,0,0,0.368974015,0
Satkara,23049166,1,ebola,310,3,0.00974026,0.629095598,0
Sayfutri,21566507,2,fifa,56,10,0.185185185,0.726680094,0
Scoottz,22788329,1,ebola,2,0,0,0.86018221,0
Scorcher592,22209020,1,ebola,6,5,0.833333333,0.268587804,0
Scotch93,22249977,1,ebola,1,1,1,0.726653546,0
Seardluin,21742088,1,fifa,1,1,1,0.752861783,0
Sedlarczuk,23003822,1,ebola,3,2,0.666666667,0.672253434,0
Sethyre,26338745,3,blm,3,2,0.666666667,0.666133348,0
Sgt1988,24330416,1,blm,1,0,0,0.317704787,0
ShadowHawk555,23071829,2,blm,34,9,0.264705882,0.792647752,0
Shadowvault,23005758,3,ebola,1,1,1,0.332765608,0
Shakiratrackleb,21606065,2,fifa,12,2,0.166666667,0.427692118,0
Shakiriwein,21624935,1,fifa,1,1,1,0.744786707,0
Shastaman19,22953194,1,ebola,1,1,1,0.356698653,0
Shriram10,22233382,1,ebola,1,1,1,0.226060555,0
Siguy85,21954978,1,blm,4,0,0,0.164089028,0
Silvrcraze,24297747,2,blm,4,0,0,0.230111222,0
Sirgrossgergeofficial,22064290,1,ebola,2,0,0,0.519782858,0
Sizzlingsteve669,22143495,1,ebola,1,1,1,0.035486951,0
Skubydoo,26373160,3,blm,100,21,0.21,0.808312127,0
Snd0,21602800,2,ebola,26,1,0.038461538,0.715131026,0
Soccer addict980,21781730,1,fifa,3,3,1,0.248201783,0
Some of everything,25593358,2,blm,217,11,0.050691244,0.817438017,0
Somuchstuffismeta,24975166,1,blm,9,1,0.111111111,0.478151179,0
Sos edelbi23,21606501,1,fifa,1,0,0,0.863892242,0
Spanzi,21613175,1,fifa,1,0,0,0.559274037,0
Stamboliyski,22271376,2,blm,546,7,0.013035382,0.852176957,0
Starstr,22661304,1,ebola,722,21,0.029288703,0.795570602,0
StealthyJoker85,23377551,2,blm,70,7,0.1,0.598366538,0
StjJackson,25806245,1,blm,424,17,0.04009434,0.799738264,0
Superjonboy01,21561671,2,fifa,3,0,0,0.899973422,0
Swaggyswig,22957991,2,ebola,2,2,1,0.445637453,0
Sweglife,25536757,1,blm,2,2,1,0.607355953,0
Swukus,21746033,1,ebola,4,0,0,0.575357467,0
Taiesecs,26764017,3,blm,2,1,0.5,0.881556985,1
Tbnaff,22853047,1,ebola,2,2,1,0.36327806,0
Teryuslimmy45,26890387,1,blm,3,0,0,0.702519059,0
Thankcleat,22223958,2,ebola,80,2,0.025316456,0.679242552,0
The Replicator,21637138,1,fifa,212,14,0.066350711,0.739376667,0
TheAGamer,21600093,3,fifa,15,4,0.266666667,0.816931712,0
TheBlinkster,24312438,2,blm,1695,7,0.004144464,0.811115789,1
TheGracefulSlick,23588386,2,blm,3415,62,0.018187152,0.952462058,1
TheMrKlWl,21730941,1,fifa,2,0,0,0.482762412,0
Theleo1234,23847471,2,ebola,2,2,1,0.237777897,0
ThurstonHowell3rd,24435954,2,blm,21,3,0.142857143,0.646591756,0
Tiger7890,24844794,3,blm,664,78,0.118181818,0.825463568,0
Tiggahuhot,23379425,1,blm,1,0,0,0.218043749,0
TimeFox,22977958,2,blm,4,0,0,0.496389223,1
Tjl2051,21937009,2,ebola,356,71,0.199438202,0.73000242,0
Tlpinto1,21875037,1,blm,10,0,0,0.57960286,0
Tobyasds,21823208,1,fifa,1,1,1,0.923225164,0
Toks3257,22354476,2,ebola,42,13,0.317073171,0.657816491,0
Trees are more important than people,25088381,3,blm,1,0,0,0.397146467,0
Tritzim,23051773,1,ebola,3,0,0,0.660230296,0
Ttextt,24719872,1,blm,5,1,0.2,0.881801995,0
Tuanminh01,21609933,3,fifa,40,2,0.051282051,0.728780369,0
TwinTowers911,25800157,1,blm,1,1,1,0.047838921,0
Ulubeyli,22139134,1,ebola,6,2,0.333333333,0.575003707,0
UnionJaren,24680355,2,blm,37,17,0.459459459,0.514259534,0
Username041313,24975002,1,blm,1,0,0,0.23217893,0
Vanished user 9j34rnfjemnrjnasj4,21556758,2,fifa,1185,69,0.059125964,0.835449736,0
Vaselineeeeeeee,21345908,1,fifa,33,11,0.333333333,0.935235375,0
VeNeMousKAT,22008334,2,ebola,234,30,0.131578947,0.731518725,0
Velojareal,26742571,2,blm,21,1,0.047619048,0.652055111,0
VeniVidiVici476,22423485,1,ebola,13,12,0.923076923,0.435200831,0
Veracity134,23636100,1,blm,1,1,1,0.065860806,0
Vicoskachaa,21607982,1,fifa,1,1,1,0.457471256,0
Vkhoury,21836170,1,fifa,1,0,0,0.976272447,0
W12345I,23151077,1,ebola,8,0,0,0.557397524,0
WMKT fr,22920072,2,ebola,7,0,0,0.786624743,1
Wa71la,22109672,1,ebola,2,0,0,0.581638261,0
Walfin,23402834,1,blm,1,0,0,0.37839153,0
Walifa Waqar,23483832,2,ebola,14,1,0.071428571,0.482553435,0
Walsh8157,24505878,1,blm,1,0,0,0.127420167,0
We43ff21,26764488,3,blm,31,5,0.161290323,0.597535846,0
WebSurfer01,23379546,1,blm,1,0,0,0.431249178,0
White Arabian Filly,26780745,3,blm,2853,48,0.016824395,0.952785101,0
WickedTurth,23571975,1,blm,7,7,1,0.523599285,0
Wikimarcel2002,23824712,1,ebola,5,5,1,0.264536608,0
Wikimaster2525,22708031,1,ebola,2,0,0,0.787592246,0
Wikipedianeedseditting,22675187,1,ebola,3,2,0.666666667,0.71136343,0
Wikipedianorthernireland,22857347,2,ebola,12,0,0,0.473128107,0
Wikipuser777,22078499,2,blm,45,15,0.333333333,0.788083188,0
Wikitesh Thapa,21711139,2,ebola,5,4,0.8,0.381450732,0
Wikiwang8,23577638,2,ebola,6,0,0,0.47964037,0
WillSchenk,23334859,2,blm,2,2,1,0.237888027,0
WilleHelm,22634215,2,ebola,3,2,0.666666667,0.594508667,0
WolverhmptonLad01,25232934,2,ebola,38,2,0.052631579,0.869665934,0
Wrsa,21960546,3,ebola,110,3,0.027522936,0.829201815,0
Wulframm Rolf,25599093,1,blm,4,2,0.5,0.310697814,0
Wwhitbyiv,25245419,1,ebola,17,6,0.352941176,0.749002353,0
Wybulldog,22287595,1,blm,3,3,1,0.294482813,0
Wyqy,22685997,1,ebola,1,1,1,0.808768107,0
XavierItzm,22888068,1,ebola,119,4,0.033613445,0.800640986,0
Xboxy,21615116,1,fifa,2,2,1,0.741810579,0
XcoIu,21617654,1,fifa,1,1,1,0.724626665,0
Xqxf,22765172,1,ebola,460,17,0.037694013,0.653131133,0
Xstokenmen,21602446,1,fifa,1,0,0,0.898736224,0
XxMorningXxXStarxX,24410372,1,blm,1,1,1,0.489345628,0
Xxxebloadubnusxxx,23436940,1,ebola,1,1,1,0.25445653,0
Yankeekid13,23376982,1,blm,1,0,0,0.385226377,0
Yellow Dingo,23215288,3,ebola,122,3,0.025862069,0.961792629,0
Yessy1205,21753789,1,fifa,8,8,1,0.552726935,0
Yogo770,23068686,1,ebola,30,0,0,0.673859396,0
Youareagrt,24523851,2,blm,3,2,1,0.428131995,0
Yunghomiek,25561760,1,blm,2,1,1,0.355526593,0
ZeFreightTrain,25764360,2,blm,3,1,0.333333333,0.373348786,0
Zexcoiler Kingbolt,26896767,1,blm,3,0,0,0.609389569,0
