wpid,userid,register,death,first_edit_type3,before_time_span,before_ave_sizediff,before_article_sizediff,before_unique_articles,before_article_count,before_edit_count,before_talk_count,before_user_count,before_usertalk_count,after_time_span,after_ave_sizediff,after_article_sizediff,after_unique_articles,after_article_count,after_edit_count,after_talk_count,after_user_count,after_usertalk_count,event.x,first_edit_type3,label,first_edit,from_event,transitivity,betweenness,betweenness_norm,closeness,closeness_norm,degree,degree_norm,Indegree,Indegree_norm,Outdegree,Outdegree_norm,weighted_degree,weighted_Indegree,weighted_Outdegree,eigen,event
Afropwnswest,24827597,4/18/15,1,1,0,30.44410618,30.44410618,2,9,9,0,0,0,7,-34.99825009,-34.99825009,1,2,2,0,0,0,BLM,1,Afropwnswest,1,1,NA,0,0,2.52E-07,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,7.48E-08,BLM
Agent0047,20601081,1/20/14,1,2,30,-91.52887336,-91.52887336,14,17,17,0,0,0,558,11.87668028,16.96287773,659,889,892,0,0,3,FIFA,2,Agent0047,2,1,NA,0,0,2.52E-07,0.00050226,0,0,0,0,0,0,0,0,0,0,FIFA
Agiufurta,22851142,10/15/14,1,2,8,67.79864403,67.79864403,2,5,5,0,0,0,129,141.1971761,141.1971761,2,5,5,0,0,0,ebola,2,Agiufurta,2,1,NA,0,0,2.52E-07,0.00050226,0,0,0,0,0,0,0,0,0,0,ebola
Ahavahisrael,22057934,8/4/14,1,2,25,208.0407998,357.4587888,10,13,24,1,10,0,43,169.1802802,185.4976813,7,8,11,1,2,0,ebola,2,Ahavahisrael,2,1,NA,0,0,2.52E-07,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,0,ebola
Akkckkc,25865582,7/27/15,1,1,0,63.49682516,63.49682516,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,BLM,1,Akkckkc,1,1,NA,0,0,2.52E-07,0.00050226,0,0,0,0,0,0,0,0,0,0,BLM
AlaskanNativeRU,24682483,4/8/15,0,2,30,86.65935749,1.872879769,57,118,138,11,2,5,891,19.43073453,28.62083812,520,1142,1386,102,5,84,BLM,2,AlaskanNativeRU,2,1,0,3,7.58E-07,2.53E-07,0.000502512,5,0.002512563,4,0.00201005,1,0.000502513,19,16,3,0,BLM
Alex 75596,21556280,6/5/14,1,2,26,0.333332222,0.333332222,13,30,30,0,0,0,0,0.99990001,0.99990001,1,1,1,0,0,0,FIFA,2,Alex 75596,2,1,NA,0,0,2.52E-07,0.00050226,0,0,0,0,0,0,0,0,0,0,FIFA
Alikaraji78,21553092,6/4/14,1,2,28,18.88224187,18.88224187,4,17,17,0,0,0,15,25.33248892,25.33248892,1,3,3,0,0,0,FIFA,2,Alikaraji78,2,1,NA,0,0,2.52E-07,0.00050226,0,0,0,0,0,0,0,0,0,0,FIFA
Allegations,25905471,8/1/15,1,3,1,99.599336,18.44423951,1,9,15,2,0,4,0,0,0,0,0,0,0,0,0,BLM,3,Allegations,3,1,0,5605,0.00141608,3.39E-07,0.000674519,4,0.00201005,2,0.001005025,2,0.001005025,9,5,4,8.79E-07,BLM
Alpha Monarch,21632347,6/16/14,1,3,30,344.3858786,139.3046612,132,233,399,26,37,61,778,773.248785,285.7509753,580,996,2327,60,304,813,FIFA,3,Alpha Monarch,3,1,0,4520,0.001141959,2.57E-07,0.000512294,52,0.026130653,13,0.006532663,39,0.01959799,66,20,46,6.12E-06,FIFA
Alvisprabhu1,22174142,8/12/14,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,ebola,1,Alvisprabhu1,1,1,NA,0,0,2.52E-07,0.00050226,0,0,0,0,0,0,0,0,0,0,ebola
Amax1701,25757421,7/13/15,1,2,28,20.38445858,20.38445858,8,13,13,0,0,0,102,43.71982512,43.71982512,11,25,25,0,0,0,BLM,2,Amax1701,2,1,NA,0,0,2.52E-07,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,0,BLM
Ammorain,22736357,10/3/14,1,2,0,864.6913531,864.6913531,3,10,10,0,0,0,294,68.74984375,64.39519908,11,43,44,0,0,1,ebola,2,Ammorain,2,1,NA,0,0,2.52E-07,0.00050226,0,0,0,0,0,0,0,0,0,0,ebola
