user,userid,event_newcomers,user_type,event,edit_count,ave_true,ave_false,predict_true_count,predict_false_count,final_check
Kwaks321,22942673,1,1,ebola,1,0.2461537,0.75374631,0,1,0
BunnyTaker55,22945140,1,2,blm,2,0.200642161,0.799307841,0,2,0
CAPTAIN RAJU,25523690,0,2,blm,3445,0.976450252,0.023549719,3445,0,1
Alvisprabhu1,22174142,1,1,ebola,1,0.247075,0.75282501,0,1,0
CLCStudent,26398660,0,2,blm,2648,0.954978001,0.045021961,2644,4,1
Cabj94,21373646,1,2,fifa,1948,0.820092358,0.179907591,1859,89,0
Caealn,21564287,1,2,fifa,597,0.72126375,0.278736083,516,81,0
CalLightman1990,26729435,1,2,blm,5,0.656538044,0.343441957,3,2,0
Soccer addict980,21781730,1,1,fifa,3,0.248201783,0.751764885,0,3,0
Homomnius,21685326,1,1,ebola,2,0.248835192,0.75111481,0,2,0
Carcake1999,22493912,1,2,ebola,149,0.658717819,0.34128151,107,42,0
Cathar66,23395611,1,3,blm,352,0.722655771,0.277343945,293,59,0
Cbowman7289,22645352,1,3,ebola,1,0.970982682,0.028917328,1,0,0
Cbursaw,23398438,1,2,blm,287,0.790060876,0.209938776,269,18,0
Cewlt,24382660,1,2,blm,33,0.744830585,0.255166385,32,1,0
Cfavsmba,23580749,1,2,blm,3,0.290799833,0.709166835,1,2,0
Loudaboss,22778809,1,1,ebola,4,0.253815778,0.746159222,0,4,0
Chaiso123,23399457,1,2,ebola,3,0.461457377,0.538509291,1,2,0
ChamithN,21929136,1,2,blm,2796,0.961926484,0.03807348,2795,1,0
Xxxebloadubnusxxx,23436940,1,1,ebola,1,0.25445653,0.74544348,0,1,0
Chief hiccup horrendous haddock,21480626,1,2,fifa,26,0.58248752,0.417508633,16,10,0
Chiffchaff2015,25571777,1,1,blm,7,0.38448384,0.615501875,0,7,0
Deangelohnynjyjyj,22947010,1,1,ebola,1,0.261617764,0.738282246,0,1,0
21 bruh,23252097,1,1,ebola,1,0.262377907,0.737522103,0,1,0
Chyluchicago,22725398,1,2,ebola,5,0.603146772,0.396833228,2,3,0
CitiV,22123746,1,3,blm,389,0.591613211,0.408386532,258,131,0
Cjsmith.us,21746182,1,2,fifa,11,0.657646774,0.342344135,9,2,0
ClassicOnAStick,21693145,1,2,fifa,4484,0.710605241,0.289394737,3948,536,0
Wikimarcel2002,23824712,1,1,ebola,5,0.264536608,0.735443393,1,4,0
Clinton30,21179961,1,2,fifa,2,0.771919426,0.228030576,2,0,0
CookieMonster755,22164567,1,3,blm,242,0.970951735,0.029047852,242,0,0
Scorcher592,22209020,1,1,ebola,6,0.268587804,0.73139553,1,5,0
Coolguy922,21562873,1,2,fifa,138,0.633220141,0.366779135,92,46,0
Coreysutphin,26538214,1,1,blm,1,0.211237251,0.788662759,0,1,0
Cowpie12345678901,25800235,1,1,blm,2,0.11809229,0.881857713,0,2,0
Cranberry Products,21375375,0,3,blm,92,0.847374198,0.152624715,87,5,1
Crogand3,22632556,1,3,ebola,2,0.823122749,0.176827254,2,0,0
Crystallizedcarbon,22150306,0,3,blm,266,0.965403227,0.034596397,266,0,1
IRVONBRABBS420BLAZE,23580979,1,1,ebola,3,0.29199939,0.707967277,0,3,0
CyanoTex,24347243,0,3,blm,151,0.964157939,0.035841399,151,0,1
CyberWarfare,25812203,1,2,blm,691,0.947669549,0.052330306,691,0,0
Rich4527,22741668,1,1,ebola,1,0.292553913,0.707346097,0,1,0
DERPALERT,24532235,1,3,blm,181,0.754206591,0.245792857,160,21,0
Daddy2d,23617662,1,1,blm,1,0.628832087,0.371067923,1,0,0
Damvile,23253239,1,2,blm,306,0.639524024,0.360475649,227,79,0
DangerousJXD,22220474,1,2,blm,119,0.509514375,0.490484785,58,61,0
Danjuma10,22308202,1,2,blm,7,0.607960108,0.392025607,4,3,0
Ooopps,22117632,1,1,ebola,1,0.297320846,0.702579164,0,1,0
Darcty rice,26896170,1,1,blm,1,0.171497761,0.828402249,0,1,0
DatGuy,26830382,1,2,blm,3171,0.960647274,0.039352695,3170,1,0
Dbonte35,22195037,1,1,blm,1,0.131856038,0.868043972,0,1,0
DeLittle,24721351,1,2,blm,26,0.737810725,0.262185429,23,3,0
Jimothyjones123,22798829,1,1,ebola,1,0.304333187,0.695566823,0,1,0
Deeeogo,25780540,1,2,blm,1739,0.792601695,0.207398247,1567,172,0
Deeznutzhagotem,25077931,1,1,blm,5,0.223355517,0.776624484,0,5,0
Dengg2,24345691,1,1,blm,1,0.780387442,0.219512568,1,0,0
Denniscabrams,24382878,1,2,blm,685,0.829442699,0.170557155,650,35,0
Desertguardsman,23595994,1,1,blm,1,0.471731231,0.528168779,0,1,0
DestinationAlan,21614443,1,2,fifa,32,0.720951091,0.279045784,24,8,0
Dianaoh339,23387877,1,2,blm,16,0.780304613,0.219689137,14,2,0
DiscantX,23278095,1,2,blm,902,0.964366501,0.035633388,902,0,0
Jaxst99,23060270,1,1,ebola,1,0.320956262,0.678943748,0,1,0
Krisdan55,22021075,1,1,ebola,2,0.343782435,0.656167567,0,2,0
DomanicAssyrian,22951759,1,3,ebola,4,0.608060539,0.391914462,3,1,0
Dontmakemetypepasswordagain,26733996,1,3,blm,73,0.732514348,0.267484282,65,8,0
DoubleDr,23868411,1,2,ebola,15,0.869579362,0.130413971,13,2,0
Douglas.j.chapman,22301296,1,1,blm,1,0.225010973,0.774889037,0,1,0
John Milton Nagel,22854370,1,1,ebola,2,0.34912829,0.650821713,1,1,0
Ricola.joe,22981203,1,1,ebola,3,0.354874703,0.645091965,0,3,0
Dunkleosteus77,24697189,1,2,ebola,621,0.731169522,0.268830317,528,93,0
Shastaman19,22953194,1,1,ebola,1,0.356698653,0.643201357,0,1,0
E10QZ,22198436,1,1,blm,4,0.640155023,0.359819978,4,0,0
"Eat me, I'm an azuki",25540432,1,2,blm,424,0.958538634,0.04146113,424,0,0
Tbnaff,22853047,1,1,ebola,2,0.36327806,0.636671943,1,1,0
Fgghhhjjjj,21792088,1,1,fifa,3,0.366519679,0.633446989,0,3,0
Aragornbattle,22806372,1,1,ebola,3,0.373198159,0.626768509,1,2,0
Emily1015,21730821,1,2,ebola,2,0.068910177,0.931039826,0,2,0
Emmyfan,23008268,1,2,blm,16,0.60573634,0.39425741,11,5,0
Engl1105,24848423,1,2,blm,9,0.758455186,0.241533703,8,1,0
Chibike94,21970264,1,1,ebola,2,0.38040304,0.619546963,0,2,0
EoRdE6,22581480,1,2,ebola,625,0.958504184,0.041495656,625,0,0
Equinox,24880950,0,2,blm,712,0.688486837,0.311513023,612,100,1
Murilo12,22055388,1,1,ebola,2,0.381513068,0.618436935,0,2,0
EternalNomad,24473955,1,3,blm,84,0.765882911,0.234115898,76,8,0
Ethanhuron,24668182,1,1,blm,1,0.258525655,0.741374355,0,1,0
EvanWikiby,21860056,1,2,fifa,4,0.828189375,0.171785625,4,0,0
Everrreton,23275635,1,1,blm,2,0.815971409,0.183978594,2,0,0
Jhanae Kelly,22057832,1,1,ebola,1,0.381692732,0.618207278,0,1,0
Omodeletobi,21915112,1,1,ebola,1,0.385423119,0.614476891,0,1,0
Daqueenonmypeen,23265487,1,1,ebola,2,0.409477899,0.590472104,1,1,0
F Camp,22126370,1,2,ebola,28,0.81171438,0.188282048,26,2,0
F8Rx,23388662,1,1,blm,1,0.442286724,0.557613286,0,1,0
FACTSvsOPINION,25829255,1,1,blm,1,0.172570228,0.827329782,0,1,0
FCHulbenheim,21657406,1,2,fifa,17,0.597775167,0.40221895,11,6,0
Mtchief,21580764,1,1,ebola,3,0.430390837,0.56957583,1,2,0
Fakih99,21795415,1,2,fifa,8,0.597957223,0.402030278,5,3,0
Fatnard,24976792,1,1,blm,2,0.433243969,0.566706034,0,2,0
Dylang010,22011743,1,1,ebola,1,0.433954065,0.565945945,0,1,0
VeniVidiVici476,22423485,1,1,ebola,13,0.435200831,0.564791477,7,6,0
Ariq maul,21797377,1,1,fifa,2,0.436317197,0.563632806,0,2,0
Flyer500,21853441,1,3,ebola,173,0.781339653,0.218659769,160,13,0
Flystar125,21625447,1,2,fifa,9,0.61289225,0.387096639,6,3,0
Abcdefghijklmnopqrstuvwxyz12345678910111,23172042,1,1,ebola,1,0.436937825,0.562962185,0,1,0
Forbidden User,21314070,0,2,blm,587,0.760496168,0.239503662,529,58,1
FourViolas,22764313,1,3,ebola,486,0.826481289,0.173518506,462,24,0
FriarTuck1981,22590519,1,2,ebola,341,0.815122338,0.184877369,311,30,0
Chizzy92,21965356,1,1,ebola,1,0.441332774,0.558567236,0,1,0
Assasin chan666,22822332,1,1,ebola,1,0.441661894,0.558238116,0,1,0
Mattswag5603,24427364,1,1,ebola,1,0.444044222,0.555855788,0,1,0
Clinton227,23274467,1,1,ebola,1,0.454107131,0.545792879,0,1,0
Futeb00l,21774160,1,2,fifa,29,0.772968751,0.2270278,24,5,0
Vicoskachaa,21607982,1,1,fifa,1,0.457471256,0.542428754,0,1,0
GaiaHugger,21396837,0,3,blm,3,0.384970847,0.61499582,1,2,1
Gamerboi1,25578442,1,1,blm,1,0.339854906,0.660045104,0,1,0
Gf95750,22915410,1,2,blm,22,0.746642085,0.25335337,18,4,0
Gg3iii,25552606,1,1,blm,1,0.292601339,0.707298671,0,1,0
MrAtifAyub,23186517,1,1,ebola,2,0.468119113,0.53183089,1,1,0
GianDawal1234,24169389,1,2,ebola,68,0.811215477,0.188783053,64,4,0
Ginothewall30,21781384,1,2,fifa,30,0.7932942,0.206702467,26,4,0
Gladiator Decimus Meridius,23664853,0,2,blm,15,0.683457538,0.316535795,14,1,1
GoLeor,24907752,1,2,blm,9,0.456395049,0.54359384,5,4,0
Kwbeie12,23096918,1,1,ebola,1,0.476968908,0.522931102,0,1,0
Igor gdsgsdgifsscvu,23732876,1,1,ebola,2,0.479784189,0.520165814,1,1,0
M.dajohnna,22747837,1,1,ebola,1,0.481757815,0.518142195,0,1,0
TheMrKlWl,21730941,1,1,fifa,2,0.482762412,0.51718759,1,1,0
GraalPK,21483047,1,3,fifa,5,0.816176431,0.183803569,5,0,0
Grammarian3.14159265359,24373534,0,2,blm,62,0.732260084,0.267738303,59,3,1
GrecianEarn,26353285,1,3,blm,711,0.769791257,0.230208603,636,75,0
GrimaceMcDonald,25528513,1,1,blm,1,0.352567035,0.647332975,0,1,0
HMS88,21533729,1,2,fifa,31,0.62213638,0.377860394,21,10,0
Apox 24,22213692,1,1,ebola,2,0.485025634,0.514924368,1,1,0
Halahala9X9,24979737,1,1,blm,6,0.836364585,0.163618749,6,0,0
Nelson Joel,23088697,1,1,ebola,2,0.49023606,0.509713942,1,1,0
Pizzaguy232roundhouse,23272223,1,1,ebola,2,0.493772611,0.506177391,1,1,0
Irishlad99,22216664,1,1,ebola,5,0.49532859,0.504651411,1,4,0
Harka1998,22388250,1,2,ebola,116,0.665538836,0.334460302,93,23,0
Harrismark,21938133,1,2,ebola,7,0.393649983,0.606335732,1,6,0
Hawkmoonb,22162361,1,1,blm,1,0.113233314,0.886666696,0,1,0
Hehoo99,23377850,1,2,blm,4,0.271922369,0.728052631,0,4,0
Chris2787,21381203,1,1,fifa,1,0.496372825,0.503527185,0,1,0
Gabrielptavares,20657819,1,1,fifa,1,0.50627738,0.49362263,1,0,0
Hermionedidallthework,25776260,0,2,blm,1224,0.970790775,0.029209143,1224,0,1
Rochoa2,22926347,1,1,ebola,3,0.516814659,0.483152009,1,2,0
BookOfJahMez,22961808,1,1,ebola,1,0.516821274,0.483078736,1,0,0
Hobbes7,23076611,1,2,ebola,21,0.782976115,0.217019124,18,3,0
Sirgrossgergeofficial,22064290,1,1,ebola,2,0.519782858,0.480167144,1,1,0
Sam3026885,23721311,1,1,ebola,4,0.520075493,0.479899508,1,3,0
Goaliegirl133,23213899,1,1,ebola,1,0.520845833,0.479054177,1,0,0
Asniaaprilia,21348121,1,1,fifa,2,0.548803937,0.451146065,1,1,0
Ham.star.01,22812081,1,1,ebola,1,0.551046981,0.448853029,1,0,0
IRW0,22287343,1,2,ebola,298,0.647703321,0.352296343,227,71,0
Yessy1205,21753789,1,1,fifa,8,0.552726935,0.447260565,4,4,0
Iazyges,23299921,1,3,blm,20,0.977967013,0.022027987,20,0,0
Icarosaurvus,22245365,1,2,blm,13,0.546484031,0.453508277,6,7,0
Cfcgau,23042377,1,1,ebola,1,0.55276323,0.44713678,1,0,0
Prisoner326,22716753,1,1,ebola,12,0.556335655,0.443656012,5,7,0
Impendingtruth,26797572,1,1,blm,6,0.255136046,0.744847288,0,6,0
W12345I,23151077,1,1,ebola,8,0.557397524,0.442589976,4,4,0
Gonzales2011,21715655,1,1,ebola,2,0.557758273,0.44219173,2,0,0
Iron Caterpillar,22778720,1,3,ebola,1,0.80052284,0.19937717,1,0,0
Spanzi,21613175,1,1,fifa,1,0.559274037,0.440625973,1,0,0
Bal Mungram,21767315,1,1,fifa,3,0.560051157,0.439915511,2,1,0
Mucky Poo,22325480,1,1,ebola,4,0.560829092,0.439145909,3,1,0
JJHk2000,21360819,1,2,fifa,64,0.861500857,0.138497581,62,2,0
JJMC89,24812038,1,2,blm,3576,0.969422008,0.030577964,3576,0,0
JT2958,22138907,1,3,blm,19,0.832441785,0.167552952,19,0,0
JafarFromAfar,23504924,1,2,ebola,2,0.272999442,0.72695056,0,2,0
Jamesdean32,23581710,1,1,blm,1,0.056997138,0.942902872,0,1,0
Omuhnate,21723336,1,1,fifa,2,0.562481159,0.437468844,1,1,0
Jc21539,22936038,1,1,blm,1,0.959603939,0.040296071,1,0,0
Jdavi333,23304355,0,2,blm,415,0.958841983,0.041157776,415,0,1
Jetsmoothin,22407763,1,2,ebola,7,0.215268773,0.784716941,1,6,0
Doc Ayomide,21941077,1,1,ebola,2,0.564875719,0.435074283,1,1,0
Jimbob761,26440004,1,2,blm,3,0.449196977,0.550769691,1,2,0
Jimmywagtail01,22487294,1,2,ebola,124,0.817132453,0.18286674,119,5,0
09flower,23214516,1,1,ebola,2,0.566087583,0.433862419,2,0,0
Jjayy138,22411359,1,3,ebola,10,0.555367273,0.444622727,6,4,0
Jlightsky,24352640,1,3,blm,5,0.72578288,0.27419712,4,1,0
Sankhu01,21819126,1,1,fifa,6,0.570562115,0.429421219,4,2,0
Mariocarioca22,21556789,1,1,fifa,2,0.573339881,0.426610122,1,1,0
3!13,22271024,1,1,ebola,2,0.574073356,0.425876647,1,1,0
Johnmirenda,21631128,1,2,fifa,4,0.638552467,0.361422534,3,1,0
Jon Stakes,21746499,1,3,fifa,1,0.563060857,0.436839153,1,0,0
Joseph2302,23498277,0,2,ebola,2817,0.966875748,0.033124217,2815,2,1
Ulubeyli,22139134,1,1,ebola,6,0.575003707,0.424979627,4,2,0
Josephp18810,25627763,1,2,blm,3,0.552324352,0.447642316,3,0,0
Joshephpeterson,26331924,1,1,blm,1,0.02232327,0.97757674,0,1,0
Jrdrew102,25612250,1,1,blm,1,0.712988102,0.286911908,1,0,0
Swukus,21746033,1,1,ebola,4,0.575357467,0.424617534,2,2,0
Ebola guy,21959760,1,1,ebola,2,0.577961069,0.421988933,1,1,0
JustSmart14,22203617,1,1,blm,1,0.161951249,0.837948761,0,1,0
Justice2001,25832095,1,1,blm,8,0.444631309,0.555356191,2,6,0
JusticeForFreddieGray,25086134,1,1,blm,3,0.464445534,0.535521134,1,2,0
Justincase1992,23365561,1,2,blm,66,0.510471785,0.4895267,27,39,0
KH-1,21857263,1,2,blm,7716,0.945919821,0.054080166,7716,0,0
Abiyarajan77,22773833,1,1,ebola,1,0.578859757,0.421040253,1,0,0
Kaizena,26481923,1,1,blm,13,0.708731932,0.291260376,10,3,0
ExoSuho,21844486,1,1,ebola,2,0.579755099,0.420194904,2,0,0
Wa71la,22109672,1,1,ebola,2,0.581638261,0.418311742,1,1,0
Kapibara100,24303793,1,3,ebola,24,0.701699097,0.298296736,16,8,0
Anthony112358,24732752,1,1,ebola,1,0.596138258,0.403761752,1,0,0
Kieran P. Clark,22986857,1,2,ebola,32,0.753362674,0.246634201,30,2,0
Kiwidwj,25596182,1,1,blm,3,0.830316644,0.169650024,3,0,0
Kiwifist,24791530,1,2,blm,225,0.750897518,0.249102038,206,19,0
Kowl00n,23237249,1,2,ebola,14,0.802949632,0.197043225,12,2,0
Mj3322,22828071,1,1,ebola,4,0.59701513,0.402959871,4,0,0
Krimsonquinn,26932106,1,1,blm,3,0.512584292,0.487382376,1,2,0
Iamchukzzy,22781464,1,1,ebola,1,0.603306351,0.396593659,1,0,0
Frostayy,22799226,1,1,ebola,1,0.616493946,0.383406064,1,0,0
BigFaCL,21314864,1,1,fifa,1,0.616867863,0.383032147,1,0,0
Kwoff,22283456,1,1,blm,2,0.479522938,0.520427065,0,2,0
Kykydani,25640137,1,1,blm,5,0.492961511,0.507018489,3,2,0
Kyle Lynch15,25074101,1,1,blm,2,0.320050037,0.679899965,0,2,0
LLBeanBrother,21634751,1,2,ebola,31,0.417764429,0.582232345,9,22,0
Landingdude13,20659301,1,2,fifa,5086,0.729337542,0.270662438,4384,702,0
Pwfen,23673468,1,1,ebola,3,0.619110798,0.38085587,2,1,0
Laurel Wreath of Victors,25771936,1,2,blm,238,0.650181368,0.349818212,169,69,0
Legochima,23626977,1,1,blm,1,0.516755045,0.483144965,1,0,0
Leo Bonilla,21626799,1,3,fifa,11,0.714032739,0.28595817,10,1,0
Lib arts premed96,24992570,0,3,blm,21,0.725277826,0.274717412,18,3,1
LiciaLace,22119550,1,1,blm,2,0.403170198,0.596779804,0,2,0
Lifebiomedguru,22147463,1,3,ebola,2,0.665330517,0.334619486,1,1,0
Lilhpster,23384693,1,1,blm,1,0.250923078,0.748976932,0,1,0
Kravinec,23170157,1,1,ebola,3,0.619913611,0.380053057,3,0,0
Liverpool8765,21800893,1,2,fifa,25,0.542498093,0.457497907,13,12,0
Lizard the Wizard,26692711,0,3,blm,1837,0.956178577,0.043821368,1837,0,1
Satkara,23049166,1,1,ebola,310,0.629095598,0.370904079,213,97,0
Lowkey40,24991961,1,1,blm,6,0.504920118,0.495063215,4,2,0
Lucazinzula,22121750,1,2,ebola,5,0.529238487,0.470741513,2,3,0
LuckyLeftyy,25763355,1,2,blm,18,0.49957251,0.500421934,9,9,0
Luyg97,21413246,1,2,fifa,29,0.652149329,0.347847223,17,12,0
Ija2002,22732690,1,1,ebola,2,0.629594126,0.370355877,2,0,0
MB298,24524350,0,2,blm,1157,0.963578249,0.036421664,1157,0,1
MPS1992,26860051,1,2,blm,1126,0.698532836,0.301467076,953,173,0
MaddiKadafy,21891220,1,3,blm,865,0.758458059,0.241541826,707,158,0
Madoti mojeed,21721474,1,3,fifa,2,0.682673249,0.317276754,1,1,0
Mahhon,25099877,1,2,ebola,119,0.665708467,0.334290692,90,29,0
ManiiMACK,23377834,1,1,blm,1,0.014690858,0.985209152,0,1,0
DuckMan23,22079756,1,1,ebola,4,0.632479196,0.367495804,2,2,0
Mariojack3,24656564,0,2,blm,58,0.74681831,0.253179965,53,5,1
Mariquilla1988,22491234,1,3,ebola,12,0.610670267,0.389321399,11,1,0
MarkBM,21794115,1,3,fifa,14,0.53948693,0.460505927,6,8,0
Masterfrac,26388641,1,2,blm,5,0.24198565,0.75799435,0,5,0
Oakhilljoseph,23010121,1,1,ebola,3,0.636054712,0.363911956,3,0,0
Matthew898,21814693,1,2,fifa,50,0.598840237,0.401157763,33,17,0
Mattoeftering,25896539,1,1,blm,2,0.366414957,0.633535046,0,2,0
08limi,23213101,1,1,ebola,1,0.63923823,0.36066178,1,0,0
Mejesik,23054210,1,2,ebola,4,0.322082482,0.677892519,1,3,0
Goalieboss,22827806,1,1,ebola,2,0.63939608,0.360553923,2,0,0
Michael hunter,22655301,1,2,ebola,18,0.555100422,0.444894023,11,7,0
Mico Antonio1234,24513045,0,2,blm,12,0.687754549,0.312237118,10,2,1
Hernanx32a,21651749,1,1,fifa,3,0.641412158,0.35855451,3,0,0
MissKatie89,21641081,1,3,ebola,7,0.755947773,0.244037941,6,1,0
Mixo45,21336330,1,2,fifa,30,0.767677801,0.232318866,26,4,0
Kakers100,22855597,1,1,ebola,1,0.643828557,0.356071453,1,0,0
Mjay54,23323345,1,1,blm,2,0.400994398,0.598955605,0,2,0
AngelisDragon,23051129,1,1,ebola,3,0.649763649,0.350203019,2,1,0
Mov283br3,26889133,1,1,blm,3,0.697146392,0.302820276,3,0,0
Mpena12,23388826,1,2,blm,6,0.85479256,0.145190774,6,0,0
Mexanoh,21772591,1,1,fifa,1,0.65110294,0.34879707,1,0,0
Mundogamesvicioam,21191932,1,1,fifa,1,0.651501832,0.348398178,1,0,0
MrMohammed305,21901010,1,3,fifa,18,0.755992036,0.244002408,15,3,0
Ftbl2014,21740386,1,1,fifa,20,0.652343845,0.347651156,14,6,0
Xqxf,22765172,1,1,ebola,460,0.653131133,0.346868649,355,105,0
Bhavinderrao9,21896149,1,1,ebola,1,0.655918557,0.343981453,1,0,0
Feelerino,21883597,1,1,fifa,1,0.659927296,0.339972714,1,0,0
Tritzim,23051773,1,1,ebola,3,0.660230296,0.339736372,3,0,0
Benjaminherberger,21635583,1,1,fifa,3,0.661828196,0.338138472,2,1,0
