wpid,userid,register,event_newcomers,is_in_event,time,death,user_type,before_time_span,before_ave_sizediff,before_article_sizediff,before_unique_articles,before_article_count,before_edit_count,before_talk_count,before_user_count,before_usertalk_count,after_time_span,after_ave_sizediff,after_article_sizediff,after_unique_articles,after_article_count,after_edit_count,after_talk_count,after_user_count,after_usertalk_count,event,first_edit_type3
Sgt1988,24330416,3/5/15,1,1,0,1,1,0,1208.879112,1208.879112,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,BLM,1
ShadowHawk555,23071829,11/4/14,0,1,741,1,0,15,49.99750012,49.99750012,2,2,2,0,0,0,674,-46.66660185,-5.428561735,32,56,72,9,1,6,BLM,2
Siguy85,21954978,7/29/14,1,1,16,1,1,16,186.9953251,186.9953251,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,BLM,1
Silvrcraze,24297747,3/2/15,0,1,1,1,0,1,132.9966751,132.9966751,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,BLM,2
Skubydoo,26373160,9/28/15,0,1,304,1,0,27,414.0342356,428.7391528,26,27,28,0,0,1,273,233.4997006,233.4997006,24,78,78,0,0,0,BLM,3
Some of everything,25593358,6/24/15,0,1,845,0,0,29,325.6096176,274.5187028,22,52,59,3,1,3,812,134.0913738,141.555121,137,544,558,9,0,5,BLM,2
Somuchstuffismeta,24975166,4/27/15,1,1,0,1,1,0,57.99935556,57.99935556,2,9,9,0,0,0,0,0,0,0,0,0,0,0,0,BLM,1
Stamboliyski,22271376,8/20/14,0,1,1105,1,0,30,747.1234538,1216.429905,90,123,210,24,25,4,1074,527.8129475,730.1071898,453,727,1139,75,103,28,BLM,2
StealthyJoker85,23377551,12/3/14,0,1,58,1,0,22,197.0662287,201.5449965,33,44,45,0,1,0,26,25.6152861,25.6152861,21,26,26,0,0,0,BLM,2
StjJackson,25806245,7/19/15,1,1,822,0,1,30,51.85911841,52.34302749,118,137,142,0,1,0,791,38.47484605,36.93409857,3181,4264,4572,16,109,4,BLM,1
Sweglife,25536757,6/19/15,1,1,47,1,1,0,-9.9990001,-9.9990001,1,1,1,0,0,0,0,2.99970003,2.99970003,1,1,1,0,0,0,BLM,1
Taiesecs,26764017,11/10/15,0,1,9,1,0,9,426.7730359,917.9541023,2,2,9,1,1,5,0,0,0,0,0,0,0,0,0,BLM,3
Teryuslimmy45,26890387,11/25/15,1,1,0,1,1,0,512.3162561,512.3162561,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,BLM,1
TheBlinkster,24312438,3/4/15,0,1,903,1,0,29,240.9720415,294.2509386,34,235,287,3,45,2,872,193.9629055,200.38414,859,7000,9355,389,1602,84,BLM,2
TheGracefulSlick,23588386,12/25/14,0,1,1029,0,0,30,73.48060591,69.1652702,80,363,516,0,141,12,998,88.54114152,73.9111489,8747,26854,47385,493,15456,2447,BLM,2
ThurstonHowell3rd,24435954,3/15/15,0,1,383,1,0,18,-137.7847301,-359.3293408,5,9,14,1,2,2,318,234.2875238,65.15334497,8,13,66,37,0,2,BLM,2
Tiger7890,24844794,4/19/15,0,1,891,0,0,30,333.8678837,207.5089023,79,110,356,11,51,131,859,621.7191183,727.3788651,447,628,1613,25,86,669,BLM,3
Tiggahuhot,23379425,12/4/14,1,1,0,1,1,0,16.99830017,16.99830017,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,BLM,1
TimeFox,22977958,10/26/14,0,1,191,1,0,12,104.2473938,11.66627779,3,3,4,1,0,0,152,86.66522225,-6.666444452,2,3,6,3,0,0,BLM,2
Tlpinto1,21875037,7/20/14,1,1,0,1,1,0,37.99962,37.99962,1,10,10,0,0,0,0,0,0,0,0,0,0,0,0,BLM,1
Trees are more important than people,25088381,5/6/15,1,1,0,1,1,0,337.3220893,317.9682032,1,1,3,1,1,0,0,0,0,0,0,0,0,0,0,BLM,3
Ttextt,24719872,4/10/15,1,1,821,1,1,4,830.6528225,947.1810564,1,5,6,0,1,0,0,-210.9789021,0,0,0,1,0,1,0,BLM,1
TwinTowers911,25800157,7/18/15,1,1,0,1,1,0,5.99940006,5.99940006,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,BLM,1
UnionJaren,24680355,4/7/15,0,1,41,1,0,27,27.0998645,24.26650489,12,15,20,0,5,0,7,16.71422602,2.181808265,8,22,28,0,5,0,BLM,2
Username041313,24975002,4/27/15,1,1,0,1,1,0,-31.99680032,-31.99680032,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,BLM,1
Velojareal,26742571,11/8/15,0,1,55,1,0,30,196.1140056,22.10514682,7,19,70,37,8,6,23,282.99717,35.99820009,2,2,10,8,0,0,BLM,2
Veracity134,23636100,12/30/14,1,1,0,1,1,0,13.99860014,13.99860014,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,BLM,1
Walfin,23402834,12/6/14,1,1,873,1,1,0,95.99520024,-1.99980002,1,1,2,1,0,0,0,238.9880506,238.9880506,1,2,2,0,0,0,BLM,1
Walsh8157,24505878,3/22/15,1,1,0,1,1,0,196.980302,196.980302,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,BLM,1
We43ff21,26764488,11/11/15,0,1,705,0,0,20,277.1828714,253.1715408,7,29,60,19,9,3,612,233.4961084,233.4961084,3,6,6,0,0,0,BLM,3
WebSurfer01,23379546,12/4/14,1,1,0,1,1,0,-12.99870013,-12.99870013,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,BLM,1
White Arabian Filly,26780745,11/12/15,0,1,706,0,0,30,127.6768862,36.97385276,462,1071,1597,94,136,166,675,89.45944328,90.39167312,2275,7639,13919,1851,1368,1877,BLM,3
WickedTurth,23571975,12/23/14,1,1,4,1,1,4,523.7456355,737.560892,3,7,12,3,1,1,0,0,0,0,0,0,0,0,0,BLM,1
Wikipuser777,22078499,8/5/14,0,1,677,1,0,23,463.1525886,181.3329304,19,45,98,1,10,26,476,6.833219446,-3.749906252,3,4,6,0,2,0,BLM,2
WillSchenk,23334859,11/30/14,0,1,0,1,0,0,75.99620019,75.99620019,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,BLM,2
Wulframm Rolf,25599093,6/25/15,1,1,182,1,1,12,72.99817505,72.99817505,3,4,4,0,0,0,0,-3.99960004,-3.99960004,1,1,1,0,0,0,BLM,1
Wybulldog,22287595,8/22/14,1,1,20,1,1,20,52.99823339,52.99823339,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,BLM,1
XxMorningXxXStarxX,24410372,3/13/15,1,1,0,1,1,0,-12.99870013,-12.99870013,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,BLM,1
Yankeekid13,23376982,12/3/14,1,1,0,1,1,0,16.99830017,16.99830017,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,BLM,1
Youareagrt,24523851,3/24/15,0,1,0,1,0,0,33.49916252,41.99860005,3,3,4,0,1,0,0,0,0,0,0,0,0,0,0,BLM,2
Yunghomiek,25561760,6/21/15,1,1,0,1,1,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,BLM,1
ZeFreightTrain,25764360,7/14/15,0,1,10,1,0,10,-3.333222226,-3.333222226,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,BLM,2
Zexcoiler Kingbolt,26896767,11/26/15,1,1,272,1,1,14,388.0332406,-64.33118896,3,3,59,0,34,19,108,540.8157236,-23.99760024,1,1,22,2,13,4,BLM,1
08limi,23213101,11/18/14,1,1,281,1,1,0,-5.99940006,-5.99940006,1,1,1,0,0,0,0,8.333055565,8.333055565,1,3,3,0,0,0,ebola,1
09flower,23214516,11/18/14,1,1,0,1,1,0,278.9860507,278.9860507,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,ebola,1
21 bruh,23252097,11/21/14,1,1,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,ebola,1
2manyJimmiesRustled,22044636,8/4/14,1,1,0,1,1,0,-2.99970003,-2.99970003,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,ebola,1
3!13,22271024,8/20/14,1,1,998,1,1,0,239.4880256,209.9790021,1,1,2,0,0,0,917,63.64240255,42.58297848,6,12,14,0,0,2,ebola,1
Aangell123,23430388,12/8/14,0,1,4,1,0,4,322.8709641,301.661639,6,6,8,2,0,0,0,0,0,0,0,0,0,0,0,ebola,2
Abcdefghijklmnopqrstuvwxyz12345678910111,23172042,11/14/14,1,1,0,1,1,0,11.99880012,11.99880012,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,ebola,1
Abiyarajan77,22773833,10/7/14,1,1,382,1,1,0,0,0,1,1,1,0,0,0,0,496.9834339,566.9716514,1,2,3,0,0,1,ebola,1
Afk3004,23010510,10/29/14,1,1,0,1,1,0,0.99990001,0.99990001,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,ebola,1
Agiufurta,22851142,10/15/14,0,1,615,1,0,8,67.79864403,67.79864403,2,5,5,0,0,0,129,141.1971761,141.1971761,2,5,5,0,0,0,ebola,2
Ahavahisrael,22057934,8/4/14,0,1,78,1,0,25,208.0407998,357.4587888,10,13,24,1,10,0,43,169.1802802,185.4976813,7,8,11,1,2,0,ebola,2
Alvisprabhu1,22174142,8/12/14,1,1,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,ebola,1
Ammorain,22736357,10/3/14,0,1,328,1,0,0,864.6913531,864.6913531,3,10,10,0,0,0,294,68.74984375,64.39519908,11,43,44,0,0,1,ebola,2
AngelisDragon,23051129,11/2/14,1,1,1,1,1,1,-22.33258891,-22.33258891,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,ebola,1
Anthony112358,24732752,4/11/15,1,1,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,ebola,1
Apox 24,22213692,8/15/14,1,1,0,1,1,0,-56.99715014,-56.99715014,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,ebola,1
Aragornbattle,22806372,10/10/14,1,1,0,1,1,0,20.33265558,20.33265558,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,ebola,1
Asracing120,23254673,11/22/14,1,1,0,1,1,0,110.9889011,110.9889011,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,ebola,1
Assasin chan666,22822332,10/12/14,1,1,0,1,1,0,54.99450055,54.99450055,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,ebola,1
AuxZane,22488679,9/10/14,0,1,421,1,0,14,4.538426627,4.538426627,9,13,13,0,0,0,386,0.199998,0.199998,4,10,10,0,0,0,ebola,2
Bhavinderrao9,21896149,7/23/14,1,1,12,1,1,0,158.9841016,158.9841016,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,ebola,1
BookOfJahMez,22961808,10/25/14,1,1,0,1,1,0,2217.778222,2217.778222,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,ebola,1
BrianGroen,22058183,8/4/14,1,1,657,1,1,29,122.7849763,108.68746,2,272,307,24,0,11,626,97.09378204,62.90669663,36,2015,2623,416,24,129,ebola,1
CDC Latam,22210107,8/15/14,1,1,0,1,1,0,77.99220078,77.99220078,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,ebola,1
Calthaus,22394843,9/1/14,1,1,99,1,1,0,2004.79952,2004.79952,1,1,1,0,0,0,0,185.9907005,185.9907005,2,2,2,0,0,0,ebola,1
Car200,21926087,7/26/14,1,1,0,1,1,0,122.9938503,122.9938503,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,ebola,1
Carcake1999,22493912,9/10/14,0,1,36,1,0,26,15.17776653,9.153839112,87,130,135,0,0,5,3,17.34991325,11.21046731,8,19,20,0,0,1,ebola,2
Cfcgau,23042377,11/2/14,1,1,0,1,1,0,-6.99930007,-6.99930007,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,ebola,1
Chaiso123,23399457,12/6/14,0,1,0,1,0,0,23.49941251,2.999900003,3,3,4,0,0,1,0,0,0,0,0,0,0,0,0,ebola,2
Chibike94,21970264,7/31/14,1,1,0,1,1,0,-2.999850007,-2.999850007,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,ebola,1
Chizzy92,21965356,7/30/14,1,1,0,1,1,0,-12.99870013,-12.99870013,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,ebola,1
Chyluchicago,22725398,10/2/14,0,1,24,1,0,24,180.3313297,82.99834003,2,5,9,4,0,0,0,0,0,0,0,0,0,0,0,ebola,2
Clinton227,23274467,11/24/14,1,1,0,1,1,0,-207.9792021,-207.9792021,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,ebola,1
Coolguy1235,23142341,11/11/14,1,1,0,1,1,0,24.99750025,24.99750025,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,ebola,1
Daqueenonmypeen,23265487,11/23/14,1,1,0,1,1,0,-366.4816759,-366.4816759,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,ebola,1
Deangelohnynjyjyj,22947010,10/23/14,1,1,0,1,1,0,-114.9885011,-114.9885011,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,ebola,1
Doc Ayomide,21941077,7/28/14,1,1,11,1,1,11,-9.999500025,-9.999500025,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,ebola,1
Doctorjokes,22166581,8/11/14,1,1,0,1,1,0,217.9782022,217.9782022,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,ebola,1
DomanicAssyrian,22951759,10/24/14,1,1,4,1,1,2,31.7774247,-6.749831254,1,4,9,0,2,0,0,0,0,0,0,0,0,0,0,ebola,3
DoubleDr,23868411,1/22/15,0,1,81,1,0,19,463.99536,463.99536,8,10,10,0,0,0,49,565.5886882,565.5886882,4,5,5,0,0,0,ebola,2
Dr.Oberd,23509049,12/16/14,1,1,76,1,1,0,438.9561044,438.9561044,1,1,1,0,0,0,0,240.3253225,240.3253225,2,3,3,0,0,0,ebola,1
DuckMan23,22079756,8/5/14,1,1,1,1,1,1,7.999800005,7.999800005,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,ebola,1
Dylang010,22011743,8/2/14,1,1,0,1,1,0,-1.99980002,-1.99980002,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,ebola,1
Ebola guy,21959760,7/30/14,1,1,0,1,1,0,231.9922669,12.49937503,1,2,3,0,0,1,0,0,0,0,0,0,0,0,0,ebola,1
Editboyxxx999snipez,22764491,10/6/14,1,1,0,1,1,0,30.99845008,30.99845008,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,ebola,1
Emily1015,21730821,6/30/14,0,1,0,1,0,0,43.49782511,43.49782511,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,ebola,2
Enhickman,22523564,9/13/14,1,1,0,1,1,0,-121.4969626,-121.4969626,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,ebola,1
EoRdE6,22581480,9/18/14,0,1,1120,0,0,16,531.0116948,235.0121258,111,163,423,58,11,175,1088,271.1712118,80.99541974,2773,4150,9088,591,522,1912,ebola,2
Erinarrow,25137754,5/10/15,1,1,872,0,1,0,-1198.880112,-1198.880112,1,1,1,0,0,0,0,415.9584042,0,0,0,1,0,1,0,ebola,1
Excetor,22525551,9/13/14,1,1,0,1,1,0,-109.4945253,-109.4945253,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,ebola,1
ExoSuho,21844486,7/16/14,1,1,17,1,1,17,6.666444452,-45.99770011,1,2,3,0,1,0,0,0,0,0,0,0,0,0,0,ebola,1
F Camp,22126370,8/8/14,0,1,41,1,0,24,292.1183521,216.7608726,4,21,42,16,4,1,3,277.6788893,23.85680205,1,7,25,13,0,5,ebola,2
Fakecolepoland,22002453,8/1/14,1,1,0,1,1,0,20.99790021,20.99790021,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,ebola,1
Fgauivfhrhgfighifdh,25147706,5/11/15,1,1,0,1,1,0,21.99926669,21.99926669,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,ebola,1
FourViolas,22764313,10/6/14,0,1,1103,0,0,25,206.710958,69.48519193,28,68,135,26,5,27,1072,584.8793145,172.50987,1996,3595,6737,812,160,1665,ebola,3
Frostayy,22799226,10/9/14,1,1,0,1,1,0,186.9813019,186.9813019,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,ebola,1
Frostnibble12343456,22940347,10/23/14,1,1,0,1,1,0,33.99660034,33.99660034,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,ebola,1
Gggff555,22857826,10/15/14,1,1,0,1,1,0,17.99820018,17.99820018,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,ebola,1
GianDawal1234,24169389,2/19/15,0,1,57,1,0,30,65.86333698,65.86333698,8,22,22,0,0,0,25,-4.297863196,-6.978245699,27,46,47,0,1,0,ebola,2
Goalieboss,22827806,10/12/14,1,1,11,1,1,0,14.99925004,14.99925004,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,ebola,1
Goaliegirl133,23213899,11/18/14,1,1,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,ebola,1
Gonzales2011,21715655,6/28/14,1,1,0,1,1,0,64.49677516,64.49677516,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,ebola,1
Gorblestein,22800527,10/10/14,1,1,0,1,1,0,10.66648889,10.66648889,4,6,6,0,0,0,0,0,0,0,0,0,0,0,0,ebola,1
Ham.star.01,22812081,10/11/14,1,1,0,1,1,0,0.99990001,0.99990001,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,ebola,1
Handsomewealth,22568229,9/17/14,1,1,0,1,1,0,708.9291071,708.9291071,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,ebola,1
Harrismark,21938133,7/27/14,0,1,11,1,0,11,-7.999885716,-7.999885716,6,7,7,0,0,0,0,0,0,0,0,0,0,0,0,ebola,2
Hemlata0005,22287630,8/22/14,1,1,0,1,1,0,36.99630037,36.99630037,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,ebola,1
Hobbes7,23076611,11/5/14,0,1,95,1,0,12,297.6176304,330.0537219,11,18,21,2,0,0,52,129.7467563,-11.99960001,2,3,4,0,0,0,ebola,2
Homomnius,21685326,6/24/14,1,1,0,1,1,0,21.49892505,21.49892505,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,ebola,1
Hrrael,22986945,10/27/14,1,1,0,1,1,0,787.9212079,787.9212079,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,ebola,1
IRVONBRABBS420BLAZE,23580979,12/24/14,1,1,0,1,1,0,144.6618446,144.6618446,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,ebola,1
Iamchukzzy,22781464,10/8/14,1,1,0,1,1,0,10.99890011,10.99890011,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,ebola,1
Igor gdsgsdgifsscvu,23732876,1/9/15,1,1,0,1,1,0,-1524.923754,-1524.923754,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,ebola,1
Ija2002,22732690,10/3/14,1,1,5,1,1,5,-0.999950002,-0.999950002,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,ebola,1
Inemudom,21965466,7/30/14,1,1,0,1,1,0,158.9841016,158.9841016,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,ebola,1
Irishlad99,22216664,8/15/14,1,1,568,1,1,1,310.9922252,310.9922252,3,4,4,0,0,0,508,62.26625156,62.26625156,4,15,15,0,0,0,ebola,1
Iron Caterpillar,22778720,10/8/14,1,1,6,1,1,6,263.2789469,9.9990001,1,1,25,0,24,0,0,0,0,0,0,0,0,0,0,ebola,3
Iwalrusfriend,23257101,11/22/14,1,1,0,1,1,0,-2.99970003,-2.99970003,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,ebola,1
JafarFromAfar,23504924,12/16/14,0,1,0,1,0,0,26.99865007,26.99865007,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,ebola,2
Jaxst99,23060270,11/3/14,1,1,0,1,1,0,25.99740026,25.99740026,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,ebola,1
Jetsmoothin,22407763,9/2/14,0,1,29,1,0,29,28.99958572,28.99958572,4,7,7,0,0,0,0,0,0,0,0,0,0,0,0,ebola,2
Jhanae Kelly,22057832,8/4/14,1,1,0,1,1,0,-5.99940006,-5.99940006,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,ebola,1
Jimothyjones123,22798829,10/9/14,1,1,0,1,1,0,30.99690031,30.99690031,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,ebola,1
Jjayy138,22411359,9/2/14,0,1,35,1,0,14,251.5527605,276.2817674,5,7,9,1,1,0,0,173.6637723,95.99680011,2,3,6,2,0,0,ebola,3
Jlrubin,22545397,9/15/14,1,1,1103,0,1,0,-6.99930007,-6.99930007,1,1,1,0,0,0,1070,75.57677774,-18.90619092,25,32,52,20,0,0,ebola,1
John Milton Nagel,22854370,10/15/14,1,1,0,1,1,0,147.4926254,147.4926254,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,ebola,1
Jsoik,23255479,11/22/14,1,1,0,1,1,0,198.980102,198.980102,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,ebola,1
Kachiokeke12,24242762,2/25/15,1,1,0,1,1,0,18.99810019,18.99810019,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,ebola,1
Kakers100,22855597,10/15/14,1,1,13,1,1,0,27.99720028,27.99720028,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,ebola,1
Kanye East1234,24300299,3/3/15,1,1,0,1,1,0,-4775.522448,-4775.522448,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,ebola,1
Kapibara100,24303793,3/3/15,0,1,821,1,0,17,258.2368655,257.8987105,6,20,21,0,1,0,770,885.6453223,885.6453223,38,51,51,0,0,0,ebola,3
Kieran P. Clark,22986857,10/27/14,0,1,325,1,0,27,920.1362847,1364.107949,6,8,14,4,0,2,294,321.7301505,404.3653188,17,30,52,7,2,7,ebola,2
Kowl00n,23237249,11/20/14,0,1,351,1,0,28,498.5643062,374.8270862,5,6,7,1,0,0,320,311.5605527,311.5605527,12,16,16,0,0,0,ebola,2
Kravinec,23170157,11/13/14,1,1,0,1,1,0,66.66444452,66.66444452,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,ebola,1
Krisdan55,22021075,8/2/14,1,1,0,1,1,0,255.6581447,129.4935253,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,ebola,1
Kwaks321,22942673,10/23/14,1,1,0,1,1,0,-106.9893011,-106.9893011,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,ebola,1
Kwbeie12,23096918,11/7/14,1,1,0,1,1,0,28.99710029,28.99710029,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,ebola,1
LLBeanBrother,21634751,6/17/14,0,1,78,1,0,23,48.39983867,49.89637967,6,29,30,0,1,0,0,21.49892505,21.49892505,1,2,2,0,0,0,ebola,2
Lashantae3,22623851,9/22/14,1,1,16,1,1,0,-449.9550045,-449.9550045,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,ebola,1
Lifebiomedguru,22147463,8/10/14,1,1,0,1,1,0,233.9922003,310.9844508,1,2,3,0,1,0,0,0,0,0,0,0,0,0,0,ebola,3
Lilnelson1234,23083653,11/5/14,1,1,6,1,1,0,37.99620038,37.99620038,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,ebola,1
Loudaboss,22778809,10/8/14,1,1,1,1,1,1,37.74905627,37.74905627,3,4,4,0,0,0,0,0,0,0,0,0,0,0,0,ebola,1
Lucazinzula,22121750,8/8/14,0,1,60,1,0,27,167.1966561,93.24766881,2,4,5,1,0,0,0,85.99140086,85.99140086,1,1,1,0,0,0,ebola,2
M.dajohnna,22747837,10/5/14,1,1,0,1,1,0,-14.99850015,-14.99850015,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,ebola,1
Mahhon,25099877,5/7/15,0,1,79,1,0,27,50.78044652,57.03598465,80,111,123,2,5,4,32,11.46659022,21.49973125,4,8,15,0,4,3,ebola,2
Mariquilla1988,22491234,9/10/14,1,1,261,1,1,2,76.39847203,8.499575021,1,2,5,3,0,0,228,33.23051361,33.23051361,10,13,13,0,0,0,ebola,3
Mattswag5603,24427364,3/14/15,1,1,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,ebola,1
Mejesik,23054210,11/3/14,0,1,0,1,0,0,15.99960001,15.99960001,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,ebola,2
Michael hunter,22655301,9/25/14,0,1,5,1,0,0,22.88876173,22.88876173,9,18,18,0,0,0,0,0,0,0,0,0,0,0,0,ebola,2
MissKatie89,21641081,6/18/14,1,1,16,1,1,16,341.3735776,161.2834102,3,7,24,14,1,1,0,0,0,0,0,0,0,0,0,ebola,3
Mj3322,22828071,10/12/14,1,1,143,1,1,18,-3.666544449,-3.666544449,3,3,3,0,0,0,101,0.499975001,0.499975001,2,2,2,0,0,0,ebola,1
MrAtifAyub,23186517,11/15/14,1,1,28,1,1,0,2.999850007,2.999850007,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,ebola,1
MrHassanSan,22935515,10/22/14,1,1,5,1,1,5,67.24831879,95.33015566,1,3,4,1,0,0,0,0,0,0,0,0,0,0,0,ebola,1
Mrs.Maddys,23400956,12/6/14,1,1,0,1,1,0,12.99870013,12.99870013,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,ebola,1
Mtchief,21580764,6/8/14,1,1,11,1,1,11,258.9948201,130.328989,1,3,5,2,0,0,0,0,0,0,0,0,0,0,0,ebola,1
Mucky Poo,22325480,8/25/14,1,1,39,1,1,0,1817.818218,1817.818218,1,1,1,0,0,0,1,-2.333255558,-2.333255558,1,3,3,0,0,0,ebola,1
Murilo12,22055388,8/4/14,1,1,0,1,1,0,-117.4941253,-117.4941253,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,ebola,1
Nauzemophonic,22709814,10/1/14,1,1,0,1,1,0,29.9970003,29.9970003,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,ebola,1
Nelson Joel,23088697,11/6/14,1,1,0,1,1,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,ebola,1
NetworkOP,23595433,12/26/14,0,1,725,1,0,26,268.2062269,204.1506316,60,126,349,7,23,83,550,169.4997175,140.8374572,11,37,60,5,4,13,ebola,3
Nikzilla,22439607,9/5/14,1,1,0,1,1,0,4.99950005,4.99950005,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,ebola,1
Oakhilljoseph,23010121,10/29/14,1,1,1,1,1,1,0.333322223,0.333322223,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,ebola,1
Okymyo,22166916,8/11/14,1,1,505,1,1,1,228.914759,52.14211226,2,7,12,1,4,0,464,41.99916002,-1023.89761,1,1,5,3,1,0,ebola,3
Omelly97,21969174,7/31/14,1,1,0,1,1,0,28.49857507,28.49857507,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,ebola,1
Omodeletobi,21915112,7/25/14,1,1,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,ebola,1
Ooopps,22117632,8/8/14,1,1,0,1,1,0,5.99940006,5.99940006,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,ebola,1
Pizzaguy232roundhouse,23272223,11/23/14,1,1,0,1,1,0,-0.999950002,-0.999950002,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,ebola,1
Pookiebabie,23331249,11/29/14,0,1,0,1,0,0,-3.499825009,-3.499825009,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,ebola,2
